Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Perry,09/24/2020,3,2.4,227,46272,6.5,5.2,490.6,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Wayne,10/16/2020,3,2.3,287,51361,5.8,4.5,558.8,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Perry,12/05/2020,22,24.6,851,46272,47.5,53.1,1839.1,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,10/09/2020,8,3.6,276,46272,17.3,7.7,596.5,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,11/04/2020,5,5,409,46272,10.8,10.8,883.9,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,11/19/2020,24,11.6,559,46272,51.9,25,1208.1,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,07/19/2020,0,0.4,102,46272,0,0.9,220.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,06/06/2020,0,1.3,70,46272,0,2.8,151.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Wayne,11/14/2020,7,4.4,360,51361,13.6,8.6,700.9,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Lycoming,05/16/2021,2,16.9,11687,113299,1.8,14.9,10315.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Perry,10/13/2020,10,4.9,298,46272,21.6,10.5,644,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Bradford,08/03/2020,3,1.4,103,60323,5,2.4,170.7,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Wayne,10/10/2020,0,1.3,271,51361,0,2.5,527.6,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Perry,05/21/2020,0,0.7,42,46272,0,1.5,90.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Wayne,10/12/2020,2,1.4,273,51361,3.9,2.8,531.5,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Perry,09/10/2020,0,0.9,194,46272,0,1.9,419.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Adams,10/23/2020,7,12.3,1094,103009,6.8,11.9,1062,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Perry,07/28/2020,1,2.1,119,46272,2.2,4.6,257.2,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Bradford,07/23/2020,1,1.9,88,60323,1.7,3.1,145.9,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Wayne,10/15/2020,5,2.3,284,51361,9.7,4.5,552.9,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Wayne,11/16/2020,8,5,371,51361,15.6,9.7,722.3,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Perry,05/23/2020,4,1.1,48,46272,8.6,2.5,103.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Crawford,04/27/2021,18,16.6,7040,84629,21.3,19.6,8318.7,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Perry,06/11/2020,1,0.6,73,46272,2.2,1.2,157.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,07/31/2020,4,1.6,125,46272,8.6,3.4,270.1,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Bradford,08/15/2020,0,1.1,112,60323,0,1.9,185.7,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Perry,07/23/2020,4,1.6,112,46272,8.6,3.4,242,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,11/12/2020,11,9.1,478,46272,23.8,19.8,1033,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Westmoreland,01/17/2021,78,174.3,23336,348899,22.4,50,6688.5,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Perry,05/08/2020,0,0.1,35,46272,0,0.3,75.6,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,07/30/2020,1,1.3,121,46272,2.2,2.8,261.5,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,08/27/2020,2,2.7,183,46272,4.3,5.9,395.5,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Mifflin,05/21/2021,3,6.6,5369,46138,6.5,14.2,11636.8,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Perry,12/03/2020,38,21.4,805,46272,82.1,46.3,1739.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,09/07/2020,3,1,193,46272,6.5,2.2,417.1,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Wayne,11/05/2020,7,2.6,318,51361,13.6,5,619.1,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Perry,05/15/2020,3,0.7,40,46272,6.5,1.5,86.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,12/16/2020,32,38,1255,46272,69.2,82.1,2712.2,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Montgomery,05/09/2020,159,100.1,5359,830915,19.1,12.1,645,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Warren,04/25/2021,5,5,2474,39191,12.8,12.8,6312.7,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Northampton,12/24/2020,240,258.9,15571,305285,78.6,84.8,5100.5,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Perry,12/30/2020,21,27.7,1719,46272,45.4,59.9,3715,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Wayne,12/10/2020,83,33.1,896,51361,161.6,64.5,1744.5,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Wayne,11/07/2020,6,3.7,329,51361,11.7,7.2,640.6,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Perry,01/17/2021,25,25.7,2225,46272,54,55.6,4808.5,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Wayne,10/31/2020,1,1.4,303,51361,1.9,2.8,589.9,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
