,Case Count
Onset Date,"211,631"
1/26/20,1
2/10/20,1
2/13/20,1
2/15/20,1
2/17/20,2
2/18/20,3
2/20/20,1
2/22/20,1
2/23/20,4
2/24/20,4
2/25/20,1
2/26/20,3
2/27/20,4
2/28/20,5
2/29/20,4
3/1/20,5
3/2/20,7
3/3/20,10
3/4/20,15
3/5/20,10
3/6/20,18
3/7/20,17
3/8/20,17
3/9/20,32
3/10/20,25
3/11/20,31
3/12/20,26
3/13/20,44
3/14/20,46
3/15/20,56
3/16/20,57
3/17/20,65
3/18/20,61
3/19/20,53
3/20/20,86
3/21/20,57
3/22/20,57
3/23/20,80
3/24/20,71
3/25/20,62
3/26/20,65
3/27/20,56
3/28/20,64
3/29/20,50
3/30/20,71
3/31/20,67
4/1/20,85
4/2/20,54
4/3/20,65
4/4/20,47
4/5/20,49
4/6/20,55
4/7/20,50
4/8/20,50
4/9/20,45
4/10/20,60
4/11/20,31
4/12/20,37
4/13/20,49
4/14/20,49
4/15/20,62
4/16/20,45
4/17/20,49
4/18/20,64
4/19/20,52
4/20/20,64
4/21/20,42
4/22/20,57
4/23/20,51
4/24/20,54
4/25/20,57
4/26/20,54
4/27/20,65
4/28/20,49
4/29/20,72
4/30/20,58
5/1/20,57
5/2/20,59
5/3/20,67
5/4/20,71
5/5/20,54
5/6/20,69
5/7/20,49
5/8/20,55
5/9/20,58
5/10/20,53
5/11/20,62
5/12/20,57
5/13/20,54
5/14/20,55
5/15/20,28
5/16/20,42
5/17/20,33
5/18/20,51
5/19/20,41
5/20/20,36
5/21/20,36
5/22/20,40
5/23/20,64
5/24/20,41
5/25/20,58
5/26/20,47
5/27/20,64
5/28/20,58
5/29/20,63
5/30/20,76
5/31/20,83
6/1/20,92
6/2/20,105
6/3/20,168
6/4/20,84
6/5/20,126
6/6/20,140
6/7/20,123
6/8/20,204
6/9/20,157
6/10/20,233
6/11/20,195
6/12/20,155
6/13/20,195
6/14/20,179
6/15/20,219
6/16/20,219
6/17/20,193
6/18/20,177
6/19/20,153
6/20/20,234
6/21/20,223
6/22/20,299
6/23/20,254
6/24/20,286
6/25/20,243
6/26/20,267
6/27/20,267
6/28/20,265
6/29/20,337
6/30/20,306
7/1/20,341
7/2/20,238
7/3/20,263
7/4/20,293
7/5/20,319
7/6/20,405
7/7/20,460
7/8/20,377
7/9/20,283
7/10/20,334
7/11/20,302
7/12/20,297
7/13/20,388
7/14/20,347
7/15/20,293
7/16/20,289
7/17/20,267
7/18/20,363
7/19/20,283
7/20/20,401
7/21/20,322
7/22/20,293
7/23/20,268
7/24/20,265
7/25/20,314
7/26/20,314
7/27/20,307
7/28/20,309
7/29/20,336
7/30/20,275
7/31/20,267
8/1/20,311
8/2/20,288
8/3/20,339
8/4/20,312
8/5/20,301
8/6/20,242
8/7/20,189
8/8/20,268
8/9/20,259
8/10/20,335
8/11/20,271
8/12/20,263
8/13/20,211
8/14/20,195
8/15/20,229
8/16/20,224
8/17/20,290
8/18/20,273
8/19/20,231
8/20/20,216
8/21/20,192
8/22/20,222
8/23/20,206
8/24/20,239
8/25/20,212
8/26/20,224
8/27/20,180
8/28/20,169
8/29/20,185
8/30/20,205
8/31/20,233
9/1/20,215
9/2/20,214
9/3/20,165
9/4/20,183
9/5/20,185
9/6/20,191
9/7/20,229
9/8/20,220
9/9/20,210
9/10/20,180
9/11/20,184
9/12/20,217
9/13/20,226
9/14/20,246
9/15/20,258
9/16/20,289
9/17/20,245
9/18/20,282
9/19/20,290
9/20/20,322
9/21/20,317
9/22/20,323
9/23/20,284
9/24/20,228
9/25/20,222
9/26/20,282
9/27/20,250
9/28/20,334
9/29/20,367
9/30/20,371
10/1/20,325
10/2/20,347
10/3/20,390
10/4/20,370
10/5/20,401
10/6/20,371
10/7/20,335
10/8/20,299
10/9/20,315
10/10/20,348
10/11/20,311
10/12/20,421
10/13/20,321
10/14/20,353
10/15/20,296
10/16/20,338
10/17/20,341
10/18/20,383
10/19/20,464
10/20/20,484
10/21/20,419
10/22/20,413
10/23/20,412
10/24/20,508
10/25/20,549
10/26/20,613
10/27/20,621
10/28/20,655
10/29/20,542
10/30/20,595
10/31/20,724
11/1/20,815
11/2/20,999
11/3/20,"1,065"
11/4/20,"1,042"
11/5/20,893
11/6/20,838
11/7/20,"1,026"
11/8/20,"1,019"
11/9/20,"1,110"
11/10/20,"1,239"
11/11/20,"1,214"
11/12/20,970
11/13/20,"1,041"
11/14/20,"1,380"
11/15/20,"1,332"
11/16/20,"1,676"
11/17/20,"1,527"
11/18/20,"1,570"
11/19/20,"1,134"
11/20/20,"1,093"
11/21/20,"1,522"
11/22/20,"1,371"
11/23/20,"1,569"
11/24/20,"1,031"
11/25/20,"1,368"
11/26/20,"1,018"
11/27/20,"1,099"
11/28/20,"1,556"
11/29/20,"1,440"
11/30/20,"1,714"
12/1/20,"1,522"
12/2/20,"1,488"
12/3/20,"1,138"
12/4/20,"1,032"
12/5/20,"1,391"
12/6/20,"1,191"
12/7/20,"1,407"
12/8/20,"1,368"
12/9/20,"1,324"
12/10/20,"1,003"
12/11/20,"1,063"
12/12/20,"1,304"
12/13/20,"1,183"
12/14/20,"1,444"
12/15/20,"1,281"
12/16/20,"1,187"
12/17/20,922
12/18/20,837
12/19/20,"1,183"
12/20/20,976
12/21/20,"1,130"
12/22/20,867
12/23/20,691
12/24/20,925
12/25/20,796
12/26/20,"1,419"
12/27/20,"1,277"
12/28/20,"1,612"
12/29/20,"1,278"
12/30/20,883
12/31/20,"1,039"
1/1/21,"1,034"
1/2/21,"1,379"
1/3/21,"1,352"
1/4/21,"1,437"
1/5/21,"1,228"
1/6/21,"1,123"
1/7/21,986
1/8/21,839
1/9/21,"1,042"
1/10/21,874
1/11/21,968
1/12/21,853
1/13/21,775
1/14/21,633
1/15/21,646
1/16/21,704
1/17/21,663
1/18/21,764
1/19/21,741
1/20/21,652
1/21/21,551
1/22/21,568
1/23/21,682
1/24/21,576
1/25/21,716
1/26/21,650
1/27/21,616
1/28/21,461
1/29/21,475
1/30/21,537
1/31/21,541
2/1/21,667
2/2/21,571
2/3/21,491
2/4/21,337
2/5/21,367
2/6/21,472
2/7/21,444
2/8/21,514
2/9/21,451
2/10/21,390
2/11/21,321
2/12/21,300
2/13/21,346
2/14/21,338
2/15/21,438
2/16/21,427
2/17/21,401
2/18/21,336
2/19/21,309
2/20/21,397
2/21/21,332
2/22/21,371
2/23/21,346
2/24/21,339
2/25/21,262
2/26/21,252
2/27/21,303
2/28/21,271
3/1/21,309
3/2/21,272
3/3/21,259
3/4/21,262
3/5/21,222
3/6/21,303
3/7/21,250
3/8/21,349
3/9/21,308
3/10/21,282
3/11/21,239
3/12/21,265
3/13/21,298
3/14/21,300
3/15/21,322
3/16/21,310
3/17/21,308
3/18/21,267
3/19/21,308
3/20/21,337
3/21/21,302
3/22/21,391
3/23/21,355
3/24/21,375
3/25/21,335
3/26/21,336
3/27/21,443
3/28/21,395
3/29/21,468
3/30/21,502
3/31/21,514
4/1/21,460
4/2/21,380
4/3/21,506
4/4/21,475
4/5/21,605
4/6/21,670
4/7/21,617
4/8/21,544
4/9/21,568
4/10/21,688
4/11/21,646
4/12/21,727
4/13/21,764
4/14/21,791
4/15/21,632
4/16/21,660
4/17/21,830
4/18/21,793
4/19/21,951
4/20/21,847
4/21/21,899
4/22/21,699
4/23/21,662
4/24/21,883
4/25/21,810
4/26/21,873
4/27/21,790
4/28/21,775
4/29/21,661
4/30/21,614
5/1/21,779
5/2/21,660
5/3/21,758
5/4/21,732
5/5/21,691
5/6/21,514
5/7/21,519
5/8/21,594
5/9/21,576
5/10/21,694
5/11/21,626
5/12/21,547
5/13/21,427
5/14/21,420
5/15/21,451
5/16/21,416
5/17/21,481
5/18/21,453
5/19/21,417
5/20/21,344
5/21/21,354
5/22/21,367
5/23/21,339
5/24/21,378
5/25/21,363
5/26/21,342
5/27/21,260
5/28/21,243
5/29/21,244
5/30/21,291
5/31/21,308
6/1/21,303
6/2/21,267
6/3/21,211
6/4/21,208
6/5/21,263
6/6/21,192
6/7/21,275
6/8/21,260
6/9/21,226
6/10/21,214
6/11/21,199
6/12/21,257
6/13/21,224
6/14/21,260
6/15/21,270
6/16/21,212
6/17/21,195
6/18/21,190
6/19/21,206
6/20/21,173
6/21/21,199
6/22/21,191
6/23/21,190
6/24/21,152
6/25/21,135
6/26/21,182
6/27/21,147
6/28/21,191
6/29/21,189
6/30/21,199
7/1/21,164
7/2/21,156
7/3/21,168
7/4/21,162
7/5/21,206
7/6/21,197
7/7/21,239
7/8/21,150
7/9/21,146
7/10/21,170
7/11/21,172
7/12/21,73
7/13/21,20
7/14/21,6
