Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Adams,06/10/2021,3,4.6,9627,103009,2.9,4.4,9345.8,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Allegheny,06/10/2021,29,26.9,101625,1216045,2.4,2.2,8357,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Armstrong,06/11/2021,2,2.3,6005,64735,3.1,3.5,9276.3,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Beaver,06/11/2021,4,5.1,15503,163929,2.4,3.1,9457.1,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Bedford,06/11/2021,0,3.7,4694,47888,0,7.8,9802,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Berks,06/11/2021,17,21.9,48273,421164,4,5.2,11461.8,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Blair,06/11/2021,4,4.3,13504,121829,3.3,3.5,11084.4,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Bradford,06/11/2021,3,1.6,6099,60323,5,2.6,10110.6,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Bucks,06/11/2021,13,12.4,60725,628270,2.1,2,9665.4,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Butler,06/11/2021,3,5.9,17558,187853,1.6,3.1,9346.7,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Cambria,06/11/2021,9,7.1,14750,130192,6.9,5.5,11329.4,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cameron,06/11/2021,1,0.4,306,4447,22.5,9.6,6881,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Carbon,06/11/2021,0,1.7,6386,64182,0,2.7,9949.8,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Centre,06/11/2021,3,2.7,16891,162385,1.8,1.7,10401.8,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Chester,06/11/2021,14,10.4,40718,524989,2.7,2,7756,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Clarion,06/11/2021,2,1.6,3200,38438,5.2,4.1,8325.1,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Clearfield,06/11/2021,1,2.7,8633,79255,1.3,3.4,10892.7,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Clinton,06/11/2021,0,2.4,3705,38632,0,6.3,9590.5,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Columbia,06/11/2021,3,3.1,5884,64964,4.6,4.8,9057.3,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Crawford,06/11/2021,3,5.7,7524,84629,3.5,6.8,8890.6,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Cumberland,06/11/2021,4,5.9,20546,253370,1.6,2.3,8109.1,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Dauphin,06/11/2021,4,6.1,26061,278299,1.4,2.2,9364.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Delaware,06/11/2021,8,17.9,52328,566747,1.4,3.2,9233,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Elk,06/11/2021,1,0.4,2868,29910,3.3,1.4,9588.8,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
