County,population,cases,cumulative_cases,Case rate,deaths,cumulative_deaths,Death rate,total_tests,cumulative_total_tests
Alameda,1685886.0,5.0,88844.0,5280,0.0,1278.0,75,526.0,2814738
Alpine,1117.0,0.0,88.0,7878,0.0,0.0,0,0.0,2010
Amador,38531.0,1.0,3710.0,9662,0.0,46.0,119,196.0,126864
Butte,217769.0,3.0,12576.0,5795,2.0,194.0,89,100.0,232191
Calaveras,44289.0,0.0,2188.0,4940,0.0,55.0,124,324.0,44542
Colusa,22593.0,0.0,1964.0,8706,1.0,15.0,66,6.0,19279
Contra Costa,1160099.0,1.0,69940.0,6043,1.0,808.0,70,313.0,1663057
Del Norte,27558.0,0.0,1409.0,5120,1.0,8.0,29,7.0,95039
El Dorado,193098.0,0.0,10316.0,5350,0.0,113.0,59,19.0,194085
Fresno,1032227.0,3.0,102770.0,9962,3.0,1720.0,167,1596.0,1297184
Glenn,29348.0,0.0,2425.0,8266,3.0,19.0,65,14.0,25889
Humboldt,134098.0,2.0,4389.0,3292,1.0,42.0,31,35.0,150384
Imperial,191649.0,4.0,28793.0,15022,1.0,741.0,387,30.0,323049
Inyo,18453.0,0.0,1405.0,7614,1.0,35.0,190,2.0,19652
Kern,927251.0,5.0,96718.0,10438,4.0,1340.0,144,213.0,1129711
Kings,156444.0,2.0,23069.0,14746,1.0,245.0,157,121.0,379189
Lake,64871.0,0.0,3550.0,5486,1.0,45.0,69,7.0,72585
Lassen,30065.0,0.0,5204.0,17332,3.0,18.0,63,9.0,147923
Los Angeles,10257557.0,305.0,1204259.0,11747,1.0,24434.0,238,9827.0,22132664
Madera,160089.0,2.0,16582.0,10369,1.0,240.0,150,325.0,271141
Marin,260800.0,4.0,14116.0,5420,0.0,229.0,88,59.0,540367
Mariposa,17795.0,0.0,434.0,2456,2.0,5.0,28,2.0,23337
Mendocino,88439.0,0.0,4022.0,4561,0.0,49.0,55,120.0,104334
Merced,287420.0,2.0,31231.0,10871,5.0,461.0,160,208.0,386303
Modoc,9475.0,0.0,382.0,4042,0.0,3.0,32,1.0,5855
Mono,13961.0,0.0,1274.0,9133,0.0,3.0,21,0.0,19201
Monterey,448732.0,0.0,43097.0,9609,0.0,415.0,93,476.0,637335
Napa,139652.0,1.0,9977.0,7168,2.0,80.0,57,52.0,283056
Nevada,98710.0,5.0,4873.0,4952,0.0,72.0,73,6.0,110819
Orange,3228519.0,11.0,254975.0,7902,1.0,5101.0,158,7375.0,3993270
Placer,400434.0,0.0,23330.0,5843,0.0,294.0,74,145.0,436274
Plumas,18997.0,0.0,696.0,3669,0.0,4.0,21,7.0,23050
Riverside,2468145.0,39.0,289376.0,11730,37.0,4451.0,180,666.0,3068725
Sacramento,1567975.0,2.0,107119.0,6848,1.0,1659.0,106,517.0,2010532
San Benito,64022.0,2.0,6082.0,9511,5.0,63.0,98,13.0,86256
San Bernardino,2217398.0,51.0,293335.0,13235,48.0,4788.0,216,623.0,3088022
San Diego,3370418.0,0.0,281144.0,8348,0.0,3768.0,112,837.0,4770909
San Francisco,892280.0,6.0,37177.0,4170,1.0,555.0,62,184.0,2150386
San Joaquin,782545.0,7.0,73347.0,9392,3.0,1397.0,179,137.0,1046279
San Luis Obispo,278862.0,12.0,21288.0,7636,1.0,256.0,92,41.0,549412
San Mateo,778001.0,5.0,42585.0,5475,38.0,542.0,70,355.0,1750903
Santa Barbara,456373.0,0.0,34438.0,7549,2.0,460.0,101,64.0,669411
Santa Clara,1967585.0,14.0,119860.0,6097,10.0,2083.0,106,604.0,4258132
Santa Cruz,273999.0,0.0,16164.0,5905,1.0,208.0,76,57.0,447538
Shasta,177925.0,0.0,12550.0,7072,0.0,201.0,113,11.0,211353
Sierra,3115.0,0.0,55.0,1766,0.0,0.0,0,2.0,2918
Siskiyou,43956.0,0.0,1882.0,4293,0.0,25.0,59,5.0,34396
Solano,444255.0,11.0,33179.0,7488,5.0,266.0,60,94.0,711646
Sonoma,496668.0,8.0,30624.0,6183,0.0,323.0,65,304.0,745182
Stanislaus,562303.0,20.0,56617.0,10088,4.0,974.0,174,70.0,689241
Sutter,105747.0,5.0,9600.0,9093,0.0,112.0,107,14.0,106646
Tehama,65885.0,0.0,5099.0,7744,0.0,63.0,96,4.0,62005
Trinity,13354.0,0.0,331.0,2486,0.0,3.0,22,0.0,8126
Tulare,484423.0,0.0,49516.0,10231,0.0,848.0,175,9500.0,599019
Tuolumne,52351.0,0.0,4104.0,7853,5.0,63.0,120,66.0,104547
Ventura,852747.0,4.0,81189.0,9524,13.0,1026.0,121,1260.0,1507344
Yolo,223612.0,0.0,14111.0,6318,0.0,212.0,95,39.0,514291
Yuba,79290.0,1.0,6113.0,7731,1.0,50.0,64,6.0,73882
