Table 1
County,Republican
Autauga,71.6
 Baldwin,76.4
Barbour,53.5
Bibb,78.5
Blount,89.7
Bullock,24.9
Butler,57.6
Calhoun,69
Chambers,57.4
Cherokee,86.1
Chilton,83.4
Choctaw,57.6
Clarke,55.8
Clay,80.9
Cleburne,89.8
Coffee,76
Colbert,69
Conecuh,53.4
Coosa,66.3
Covington,83.8
Crenshaw,73.6
Cullman,88.3
Dale,72.6
Dallas,31
Dekalb,84.5
Elmore,73.7
Escambia,68.4
Etowah,74.6
Fayette,83.4
Franklin,82.6
Geneva,86.6
Greene,18.4
Hale,40.4
Henry,71.2
Houston,70.8
Jackson,83.4
Jefferson,42.8
Lamar,85.9
Lauderdale,71.8
Lawrence,77
Lee,59.4
Limestone,70.6
Lowndes,26.9
Macon,17.7
Madison,53
Marengo,49.1
Marion,88.6
Marshall,83.9
Mobile,55.4
Monroe,57.7
Montgomery,33.7
Morgan,74
Perry,25.6
Pickens,57.9
Pike,58.2
Randolph,79.1
Russell,46.3
St. Clair,81.5
Shelby,69.6
Sumter,25.4
Talladega,62.4
Tallapoosa,71.4
Walker,83.6
Washington,74
Wilcox,31.1
Winston,90.5
