County,Case rate,Death rate
Arkansas,12587,217
Ashley,10444,178
Baxter,7982,248
Benton,10660,151
Boone,10702,214
Bradley,13481,307
Calhoun,8113,58
Carroll,10067,162
Chicot,16100,405
Clark,9794,184
Clay,12350,357
Cleburne,8263,297
Cleveland,12381,314
Columbia,10227,239
Conway,10841,163
Craighead,12463,168
Crawford,11404,190
Critterden,12887,202
Cross,12059,305
Dallas,10972,228
Desha,12094,202
Drew,11279,247
Faulkner,10344,132
Franklin,9670,226
Fulton,9369,377
Garland,10543,266
Grant,9658,186
Greene,13747,172
Hempstead,9609,93
Hot Spring,15676,225
Howard,12672,189
Independence,10337,328
Izard,12503,308
Jackson,19451,227
Jefferson,13699,254
Johnson,11160,143
Lafayette,8424,136
Lawrence,13111,262
Lee,19262,418
Lincoln,24893,369
Little River,10368,351
Logan,10640,116
Lonoke,10473,169
Madison,8941,139
Marion,6637,180
Miller,10301,88
Mississippi,14565,271
Monroe,13192,269
Montgomery,8480,367
Nevada,10664,291
Newton,9712,335
Ouachita,10376,269
Perry,8149,105
Phillips,10505,247
Pike,9647,205
Poinsett,13592,327
Polk,10183,371
Pope,12715,172
Prairie,11350,273
Pulaski,10390,171
Randolph,12301,262
Saline,10194,141
Scott,9435,136
Searcy,9402,228
Sebastian,12145,224
Sevier,16634,141
Sharp,9403,269
St. Francis,14567,176
Stone,8708,248
Union,10643,297
Van Buren,8323,145
Washington,13172,149
White,10551,156
Woodruff,10316,222
Yell,16208,309
