County,Percent of 18+ Pop Fully Vaccinated,Case rate,Death rate,Mean Household Income,Black or African American,65 and over,Age
Alameda County,65.5,5280,75,130710,10.6,13.5,Low
Alpine County,N/A,7878,0,97724,0.9,29.9,High
Amador County,38.4,9662,119,81659,2.4,26.7,High
Butte County,40.8,5795,89,75746,1.5,18.0,High
Calaveras County,39,4940,124,84039,0.7,27.5,High
Colusa County,42.6,8706,66,77196,1.5,14.4,Low
Contra Costa County,66.1,6043,70,135742,8.7,15.4,Low
Del Norte County,30,5120,29,63515,3.4,17.2,High
El Dorado County,48.5,5350,59,110041,0.8,20.5,Low
Fresno County,45,9962,167,74776,4.8,12.0,Low
Glenn County,40,8266,65,62706,0.8,15.9,Low
Humboldt County,49.9,3292,31,68313,1.1,17.3,High
Imperial County,52.8,15022,387,64355,2.5,12.6,Low
Inyo County,N/A,7614,190,71376,0.9,22.8,High
Kern County,37.1,10438,144,73478,5.5,10.7,Low
Kings County,28.6,14746,157,72812,6.4,10.0,Low
Lake County,44.8,5486,69,66591,2.3,22.3,High
Lassen County,28,17332,63,71713,8.7,14.2,Low
Los Angeles County,53.1,11747,238,99133,8.1,13.3,Low
Madera County,40.2,10369,150,74861,3.2,13.8,Low
Marin County,76.4,5420,88,176019,2.2,21.6,High
Mariposa County,N/A,2456,28,61727,1.5,27.5,High
Mendocino County,53,4561,55,70648,0.7,21.2,High
Merced County,31.1,10871,160,74379,3.2,11.0,Low
Modoc County,N/A,4042,32,53699,1.5,27.0,High
Mono County,N/A,9133,21,84427,0.8,14.3,Low
Monterey County,53.3,9609,93,97451,2.6,13.2,Low
Napa County,62.6,7168,57,123451,2.1,18.6,High
Nevada County,48.3,4952,73,91634,0.6,26.5,High
Orange County,55.3,7902,158,122488,1.8,14.4,Low
Placer County,52.4,5843,74,115043,1.7,19.1,High
Plumas County,N/A,3669,21,77027,0.9,27.1,High
Riverside County,42.3,11730,180,88875,6.5,14.1,Low
Sacramento County,49.1,6848,106,88883,9.8,13.7,Low
San Benito County,46.9,9511,98,106604,0.8,12.5,Low
San Bernardino County,40.3,13235,216,81382,8.3,11.3,Low
San Diego County,42.2,8348,112,106600,5.0,13.7,Low
San Francisco County,68.5,4170,62,160396,5.2,15.4,Low
San Joaquin County,39.3,9392,179,86090,7.0,12.5,Low
San Luis Obispo County,46.7,7636,92,96196,1.9,19.4,High
San Mateo County,68.3,5475,70,174055,2.3,15.8,Low
Santa Barbara County,55.7,7549,101,106421,2.0,15.0,Low
Santa Clara County,70.3,6097,106,164962,2.5,13.2,Low
Santa Cruz County,61,5905,76,115265,1.1,15.8,Low
Shasta County,35.9,7072,113,73415,1.2,20.2,High
Sierra County,N/A,1766,0,74547,0.1,29.3,High
Siskiyou County,40.3,4293,59,64251,1.6,24.7,High
Solano County,48.6,7488,60,100842,13.9,15.2,Low
Sonoma County,62.3,6183,65,108169,1.7,19.0,High
Stanislaus County,37,10088,174,79228,3.0,12.8,Low
Sutter County,41.9,9093,107,79429,1.9,15.0,Low
Tehama County,29.5,7744,96,61939,0.8,19.3,High
Trinity County,N/A,2486,22,54714,1.0,26.9,High
Tulare County,38.4,10231,175,69493,1.6,11.2,Low
Tuolumne County,44.5,7853,120,83571,1.8,25.6,High
Unknown,N/A,9524,121,115600,1.8,15.1,Low
Ventura County,56.3,6318,95,98244,2.7,12.1,Low
Yolo County,53.4,7731,,72679,3.4,12.3,Low
Yuba County,33.3,,,88607,12.7,15.6,Low
