County Level Vaccination Data for Arizona
Date generated: Fri Jun 25 2021 13:23:27 GMT-0400 (Eastern Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Apache County,40403,56.2,40396,68.1,35585,68.1,67.8,9096,80.3
Cochise County,49833,39.6,49832,46.1,48615,46.1,49.1,19268,66.2
Coconino County,74709,52.1,74706,60,70979,60,61.9,18558,99.4
Gila County,23435,43.4,23433,50,23043,50,53.1,10085,63.6
Graham County,16409,42.3,16408,51.4,16142,51.4,56.7,4750,87.3
Greenlee County,2901,30.5,2901,37.4,2881,37.4,41.6,831,64.1
La Paz County,7375,34.9,7375,39.2,7243,39.2,41.1,4259,50.8
Maricopa County,1613361,36,1613330,42.5,1555591,42.5,45.3,480879,69.1
Mohave County,56557,26.7,56556,29.9,56188,29.9,31.8,31793,48.2
Navajo County,48547,43.8,48545,52.8,44937,52.8,54.9,14332,68.8
Pima County,481692,46,481660,53.2,465672,53.2,56,170053,80
Pinal County,152815,33,152810,38.6,149074,38.6,41.4,61450,63.6
Santa Cruz County,31286,67.3,31285,81.4,29159,81.4,85.5,8196,95.4
Unknown,74502,N/A,74489,N/A,73871,N/A,N/A,20672,N/A
Yavapai County,76088,32.4,76083,36,75276,36,38.1,43073,56.4
Yuma County,89710,42,89709,50.4,86501,50.4,54,26480,64.1
