County Level Vaccination Data for California
Date generated: Sat Jun 12 2021 14:16:01 GMT-0400 (Eastern Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Alameda County,945809,56.6,944834,65.5,910808,65.5,68.4,193931,81.2
Alpine County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amador County,13752,34.6,13750,38.4,13638,38.4,40.4,6701,61.2
Butte County,77562,35.4,77539,40.8,76182,40.8,43.6,26554,66
Calaveras County,15980,34.8,15975,39,15792,39,41.5,7982,62
Colusa County,7560,35.1,7559,42.6,7439,42.6,47.4,2078,64.7
Contra Costa County,654284,56.7,653688,66.1,626037,66.1,70,159853,85.2
Del Norte County,7190,25.9,7189,30,7107,30,32.3,2945,57.5
El Dorado County,82120,42.6,82072,48.5,79863,48.5,51.6,29258,69.2
Fresno County,364615,36.5,364427,45,354023,45,49.4,94286,75.2
Glenn County,9375,33,9374,40,9179,40,44.1,3257,72.8
Humboldt County,59218,43.7,59196,49.9,57739,49.9,52.5,18425,73.1
Imperial County,77299,42.7,77256,52.8,74295,52.8,57.3,16791,69.6
Inyo County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kern County,270088,30,269958,37.1,261625,37.1,40.8,66420,65.7
Kings County,35714,23.4,35692,28.6,34725,28.6,31.1,8200,51.2
Lake County,24732,38.4,24727,44.8,24516,44.8,48.3,9999,67.3
Lassen County,7558,24.7,7558,28,7495,28,29.6,3087,65.2
Los Angeles County,4576585,45.6,4573674,53.1,4433814,53.1,56.2,986565,69.8
Madera County,51772,32.9,51754,40.2,50197,40.2,44,15623,69.2
Marin County,174088,67.3,173727,76.4,163631,76.4,78.9,50115,84.4
Mariposa County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mendocino County,39566,45.6,39526,53,38507,53,56.3,14504,72.4
Merced County,69869,25.2,69837,31.1,68663,31.1,35,18439,58.3
Modoc County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mono County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Monterey County,191228,44.1,191152,53.3,185235,53.3,57.6,43896,72.3
Napa County,75421,54.8,75358,62.6,72914,62.6,66.3,21801,80.3
Nevada County,42975,43.1,42936,48.3,41741,48.3,50.4,17245,60.9
Orange County,1508416,47.5,1507585,55.3,1461630,55.3,58.8,365729,75.3
Placer County,179453,45.1,179341,52.4,173756,52.4,56,60812,76.6
Plumas County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Riverside County,877913,35.5,877556,42.3,852189,42.3,45.9,253618,69.3
Sacramento County,645010,41.6,644549,49.1,623727,49.1,52.5,165456,73.6
San Benito County,24624,39.2,24613,46.9,23733,46.9,50.7,5526,67
San Bernardino County,728212,33.4,727856,40.3,706292,40.3,43.9,175021,67.2
San Diego County,1204897,36.1,1204029,42.2,1166776,42.2,44.5,276861,57.1
San Francisco County,547155,62.1,546605,68.5,531521,68.5,69.6,107138,75.6
San Joaquin County,247343,32.5,247251,39.3,241456,39.3,43.3,69180,69.3
San Luis Obispo County,117184,41.4,117127,46.7,114268,46.7,48.9,39112,66.2
San Mateo County,454239,59.3,453742,68.3,435037,68.3,71.2,102092,80.5
Santa Barbara County,212051,47.5,211882,55.7,205099,55.7,58.9,53197,75.9
Santa Clara County,1164242,60.4,1162802,70.3,1109395,70.3,73.4,219413,81.8
Santa Cruz County,146228,53.5,146100,61,140555,61,63.5,35927,76.1
Shasta County,55427,30.8,55413,35.9,54583,35.9,38.6,22818,59.9
Sierra County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Siskiyou County,15241,35,15239,40.3,15067,40.3,43.3,7010,61.6
Solano County,185774,41.5,185665,48.6,180328,48.6,51.6,51308,70.1
Sonoma County,270292,54.7,270018,62.3,260937,62.3,65.4,80478,78.7
Stanislaus County,167620,30.4,167523,37,163056,37,40.5,45550,61.6
Sutter County,33800,34.9,33785,41.9,33132,41.9,46,10540,69.8
Tehama County,16223,24.9,16223,29.5,16004,29.5,32.3,6541,51.2
Trinity County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tulare County,143061,30.7,142996,38.4,139021,38.4,42.9,36342,66.9
Tuolumne County,21602,39.7,21598,44.5,21417,44.5,47.3,10742,73
Unknown,532956,N/A,532762,N/A,525515,N/A,N/A,121665,N/A
Ventura County,406915,48.1,406708,56.3,393295,56.3,60,105999,77.5
Yolo County,101909,46.2,101738,53.4,97025,53.4,55.5,22101,77.5
Yuba County,21269,27,21255,33.3,20870,33.3,36.6,6326,61.6
