County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams County,24542,37.5,24536,44.1,24137,44.1,47.6,9474,70.1
Alexander County,1109,19.3,1109,22.5,1104,22.5,24.6,557,41.8
Bond County,5793,35.3,5788,40,5676,40,42.7,2192,68.6
Boone County,19956,37.3,19923,43.7,19019,43.7,47.1,6063,70.2
Brown County,1570,23.9,1568,26.7,1551,26.7,28.1,651,70.4
Bureau County,11945,36.6,11935,42.1,11662,42.1,45.3,4978,67.8
Calhoun County,1938,40.9,1937,46.9,1927,46.9,50.9,811,71
Carroll County,6404,44.8,6403,51.1,6348,51.1,55,2734,74.1
Cass County,4760,39.2,4757,46.6,4618,46.6,50.3,1580,71.2
Champaign County,92931,44.3,92754,50.6,89254,50.6,52.4,21597,77.6
Christian County,10104,31.3,10104,35.9,9982,35.9,38.7,4593,70.3
Clark County,4559,29.5,4559,34.5,4528,34.5,37.7,1918,61.6
Clay County,3428,26,3428,30.5,3407,30.5,33.4,1705,62.3
Clinton County,14082,37.5,14077,43.5,13794,43.5,46.5,5033,74.6
Coles County,15239,30.1,15231,34.1,14998,34.1,36.1,5931,67
Cook County,2310605,44.9,2307334,52.3,2222536,52.3,55.1,532838,68.6
Crawford County,6258,33.5,6258,38.6,6198,38.6,41.4,2609,72
Cumberland County,2667,24.8,2666,29,2653,29,31.7,1231,56
De Witt County,5371,34.3,5369,39.7,5260,39.7,42.6,2160,69.9
DeKalb County,37344,35.6,37299,41.4,35901,41.4,43.6,10165,75
Douglas County,6032,31,6026,36.8,5887,36.8,40.2,2285,64
DuPage County,463491,50.2,462832,58.6,442630,58.6,61.9,119090,79.9
Edgar County,5033,29.3,5030,33.6,4987,33.6,36.4,2377,61.5
Edwards County,1739,27.2,1737,31.9,1720,31.9,34.7,853,61
Effingham County,10090,29.7,10085,35.3,10003,35.3,38.7,4193,68.9
Fayette County,4395,20.6,4395,23.8,4364,23.8,25.8,2173,52.5
Ford County,4792,37,4789,43.2,4647,43.2,46.3,1846,74
Franklin County,10454,27.2,10451,31.7,10328,31.7,34.4,4858,60.5
Fulton County,12850,37.4,12845,42.7,12589,42.7,45.5,5292,72.7
Gallatin County,1740,36,1739,41.2,1720,41.2,44.5,790,67
Greene County,3904,30.1,3899,34.8,3832,34.8,37.6,1609,61.9
Grundy County,17484,34.2,17470,40.7,16879,40.7,44.1,5020,67.5
Hamilton County,2049,25.2,2045,29.1,2035,29.1,32.1,1001,55.1
Hancock County,5836,33,5836,38,5784,38,41.3,2703,64.8
Hardin County,1082,28.3,1082,31.7,1078,31.7,34.2,594,58.2
Henderson County,2226,33.5,2226,38.1,2216,38.1,40.8,1096,65
Henry County,20126,41.1,20111,47.9,19443,47.9,51,7715,75.5
