County,People with at least 1 Dose,People Fully Vaccinated,Percent of Total Pop with at least 1 Dose,Percent of Total Pop Fully Vaccinated,People 12+ Fully Vaccinated,People 12+ with at least 1 Dose,Percent of 12+ Pop with at least 1 Dose,Percent of 12+ Pop Fully Vaccinated,People 18+ with at least 1 Dose,Percent of 18+ Pop with at least 1 Dose,People 18+ Fully Vaccinated,Percent of 18+ Pop Fully Vaccinated,People 65+ with at least 1 Dose,People 65+ Fully Vaccinated,Percent 65+ Pop at least 1 Dose,Percent of 65+ Pop Fully Vaccinated
Adams County,9979,9163,27.9,25.6,9161,9977,35.5,32.6,9764,39.8,9014,36.7,4161,3993,73.2,70.3
Allen County,162144,144469,42.7,38.1,144466,162136,51.5,45.9,154899,54.9,139361,49.4,47366,45563,83.7,80.5
Bartholomew County,40376,36554,48.2,43.6,36553,40374,57.2,51.8,38381,60.1,35018,54.8,11380,11018,82.2,79.5
Benton County,2935,2742,33.6,31.3,2742,N/A,N/A,37.2,N/A,N/A,2672,40.8,N/A,1062,N/A,67.6
Blackford County,4340,4003,36.9,34,4003,4340,42.9,39.5,4238,45.9,3929,42.6,1935,1869,75.2,72.6
Boone County,39779,36047,58.6,53.1,36047,39778,70.6,64,36757,73.2,33713,67.1,8893,8585,95.2,91.9
Brown County,6426,5847,42.6,38.7,5847,6425,47.7,43.4,6262,50.2,5736,45.9,2721,2616,71,68.2
Carroll County,5599,5101,27.6,25.2,5101,5599,32.2,29.3,5486,34.7,5017,31.8,2158,2068,53.2,50.9
Cass County,13026,11706,34.6,31.1,11706,13025,40.5,36.4,12581,43.3,11403,39.2,4881,4684,70.9,68
Clark County,58260,52485,49.2,44.4,52483,58250,57.9,52.1,56012,61,50847,55.3,17000,16416,88.9,85.9
Clay County,11471,10414,43.7,39.7,10414,11471,51.4,46.6,11179,55.3,10214,50.5,4691,4537,98.2,94.9
Clinton County,12186,10787,37.6,33.3,10787,12185,45.3,40.1,11797,49.3,10555,44.1,4396,4228,80.8,77.7
Crawford County,3179,2924,30.1,27.6,2924,3179,34.9,32.1,3108,37.5,2865,34.6,1317,1254,62,59
Daviess County,8532,7873,25.6,23.6,7873,8532,31.9,29.4,8345,35.5,7748,33,3400,3286,66.1,63.8
DeKalb County,15311,13995,35.2,32.2,13994,15310,41.7,38.1,14826,44.9,13641,41.3,5594,5419,77.7,75.3
