County Level Vaccination Data for Kansas
Date generated: Tue Jun 29 2021 15:24:53 GMT-0400 (Eastern Daylight Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Allen County,4344,3923,35.1,31.7,3923,4344,40.8,36.9,4247,44.1,3864,40.1,1800,1687,69.4,65
Anderson County,2639,2370,33.6,30.2,2370,2639,40.3,36.2,2583,44.2,2356,40.4,1139,1077,67.5,63.8
Atchison County,5380,4841,33.5,30.1,4841,5380,39.1,35.2,5279,42.5,4789,38.6,2148,2053,75.9,72.6
Barber County,1712,1587,38.7,35.8,1587,1712,45.8,42.4,1700,50,1579,46.4,816,770,79.8,75.3
Barton County,8747,7928,33.9,30.8,7927,8746,40.1,36.4,8610,43.7,7849,39.8,3547,3307,69.1,64.4
Bourbon County,4117,3798,28.3,26.1,3798,4117,34,31.4,4015,37.1,3725,34.4,1766,1686,60.1,57.3
Brown County,4500,4136,47.1,43.2,4136,4500,56.7,52.1,4271,59.8,3996,55.9,1711,1631,86.3,82.2
Butler County,24879,21967,37.2,32.8,21965,24876,44.3,39.1,23883,47.8,21281,42.6,7687,7121,73.2,67.8
Chase County,953,915,36,34.6,915,953,41.3,39.6,932,43.8,898,42.2,398,391,57.9,56.9
Chautauqua County,1096,1023,33.7,31.5,1023,1096,38.7,36.1,1088,41.7,1019,39.1,504,481,55.8,53.3
Cherokee County,6592,5901,33.1,29.6,5901,6592,38.6,34.5,6455,41.9,5819,37.8,2570,2396,65.4,61
Cheyenne County,1015,906,38.2,34.1,906,1015,44.8,40,1006,47.9,902,42.9,521,483,71.8,66.5
Clark County,782,733,39.2,36.8,733,782,46.5,43.6,759,50.6,714,47.6,336,322,78.5,75.2
