County Level Vaccination Data for Kentucky
Date generated: Wed Jun 30 2021 10:17:20 GMT-0400 (Eastern Daylight Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adair County,5731,5253,29.8,27.4,5253,5731,34.2,31.3,5647,36.7,5202,33.8,2068,1973,56,53.4
Allen County,6943,6404,32.6,30,6404,6943,38.4,35.4,6755,41.2,6283,38.3,2480,2396,64.4,62.2
Anderson County,11512,10060,50.6,44.2,10060,11512,59.7,52.2,11026,63.4,9736,55.9,3384,3210,91.2,86.5
Ballard County,2026,1912,25.7,24.2,1912,2026,29.5,27.9,2006,32.2,1895,30.4,858,836,49.7,48.4
Barren County,15971,14515,36.1,32.8,14515,15970,42.7,38.8,15601,46.1,14254,42.1,5837,5496,73.2,69
Bath County,5170,4767,41.4,38.1,4767,5170,49.8,45.9,5016,53.9,4658,50.1,1777,1710,83.7,80.5
Bell County,9329,8465,35.8,32.5,8465,9329,41.6,37.7,9210,44.8,8398,40.8,3281,3045,63.9,59.3
Boone County,74870,65472,56,49,65470,74865,67.2,58.7,70168,70.8,62212,62.8,17515,16339,93.2,86.9
Bourbon County,9393,8305,47.5,42,8305,9393,55.6,49.1,9015,58.8,8067,52.6,2998,2786,76.9,71.5
Boyd County,19012,14960,40.7,32,14959,19011,47.2,37.1,18447,50.2,14590,39.7,6442,4727,69,50.6
Boyle County,15067,13523,50.1,45,13523,15067,57.5,51.6,14497,60.2,13142,54.5,4734,4407,80.3,74.8
Bracken County,3045,2833,36.7,34.1,2833,3045,43.2,40.2,2979,46.9,2806,44.2,1120,1085,78.4,76
Breathitt County,4694,4213,37.2,33.4,4213,4694,43.1,38.7,4573,45.7,4117,41.2,1521,1400,67.9,62.5
Breckinridge County,6936,6280,33.9,30.7,6280,6935,39.6,35.9,6770,42.7,6168,38.9,2789,2634,68.9,65.1
Bullitt County,31581,28303,38.7,34.7,28303,31579,44.7,40.1,30286,47.3,27382,42.8,8729,8228,66,62.3
Butler County,4622,4248,35.9,33,4248,4622,42.2,38.8,4513,45.3,4180,42,1611,1575,66.4,64.9
Caldwell County,4991,4577,39.2,35.9,4577,4991,46,42.2,4921,49.8,4533,45.8,2110,1995,77.6,73.4
Calloway County,14745,13225,37.8,33.9,13225,14742,42.9,38.5,14376,44.9,12965,40.5,5172,4774,75.9,70.1
Campbell County,51998,46358,55.6,49.5,46357,51996,64.5,57.5,49581,66.9,44629,60.2,13269,12375,88.1,82.1
Carlisle County,1394,1271,29.3,26.7,1271,1394,34.6,31.5,1380,37.7,1260,34.4,687,648,66.8,63
Carroll County,4267,3788,40.1,35.6,3788,4267,48.9,43.4,4134,52.4,3684,46.7,1380,1253,82.7,75.1
Carter County,9393,8049,35.1,30,8048,9393,41.1,35.2,9178,44.1,7912,38,3374,2959,64.8,56.8
Casey County,4415,3884,27.3,24,3884,4415,32.3,28.4,4364,35,3849,30.9,1865,1686,56.6,51.2
Christian County,17237,15633,24.5,22.2,15631,N/A,N/A,27.6,N/A,N/A,15251,29.7,N/A,5583,N/A,62.2
Clark County,17215,15385,47.5,42.4,15385,17214,55.6,49.7,16509,58.5,14829,52.6,5150,4751,77.9,71.9
Clay County,6333,5677,31.8,28.5,5677,6333,36.9,33.1,6218,39.6,5602,35.6,1934,1782,62.4,57.5
Clinton County,2910,2629,28.5,25.7,2629,2908,33.2,30.1,2886,36.3,2616,32.9,1249,1147,61.9,56.8
Crittenden County,2547,2335,28.9,26.5,2335,2547,33.6,30.8,2508,36.5,2318,33.8,1140,1077,60.6,57.3
Cumberland County,2142,1992,32.4,30.1,1992,2142,37.8,35.2,2130,40.8,1986,38,955,897,63.4,59.5
Daviess County,43748,39647,43.1,39.1,39647,43747,51.4,46.6,42228,54.9,38571,50.2,14257,13190,81.3,75.2
Edmonson County,3767,3446,31,28.4,3446,3766,35,32,3668,36.7,3380,33.8,1428,1329,54.9,51.1
Elliott County,1992,1791,26.5,23.8,1791,1992,30,27,1966,31.8,1774,28.7,618,571,40.4,37.3
Estill County,5537,4948,39.3,35.1,4948,5537,45.5,40.6,5328,48.1,4790,43.2,2039,1890,75.2,69.7
Fayette County,204175,175427,63.2,54.3,175424,204152,73.4,63.1,193497,75.6,167919,65.6,43763,39186,97.6,87.4
Fleming County,5495,5061,37.7,34.7,5061,5495,44.8,41.2,5315,48.2,4918,44.6,2088,1979,79.6,75.4
Floyd County,15183,13842,42.7,38.9,13841,15182,49.8,45.4,14805,53.3,13566,48.8,4936,4587,73.6,68.4
Franklin County,32752,30096,64.2,59,30096,32751,74.4,68.4,31248,77.3,29053,71.9,10069,9683,99.9,99.9
Fulton County,2512,2160,42.1,36.2,2160,2511,49.1,42.3,2485,52.9,2142,45.6,1108,1011,89.5,81.7
Gallatin County,2778,2533,31.3,28.6,2533,2778,37.1,33.8,2673,39.6,2462,36.5,898,865,71.4,68.8
Garrard County,6897,6278,39,35.5,6278,6897,45.7,41.6,6710,48.8,6155,44.7,2400,2285,74,70.5
Grant County,9849,8782,39.3,35,8782,9848,47.4,42.3,9476,51.2,8526,46.1,3037,2902,86.3,82.4
Graves County,12520,11148,33.6,29.9,11148,12520,40.1,35.7,12274,43.4,11032,39,5123,4793,72.9,68.2
Grayson County,10265,9097,38.8,34.4,9097,10265,45.8,40.6,9968,49.1,8873,43.7,3955,3590,82.7,75.1
