County Level Vaccination Data for Louisiana
Date generated: Wed Jun 30 2021 13:58:04 GMT-0400 (Eastern Daylight Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Acadia Parish,20952,18914,33.8,30.5,18913,20951,40.6,36.7,20642,44.8,18718,40.7,8151,7654,83.2,78.1
Allen Parish,6283,5545,24.5,21.6,5545,6283,28.8,25.4,6187,31.1,5489,27.6,1917,1649,49.1,42.2
Ascension Parish,43533,39622,34.4,31.3,39619,43525,41.7,37.9,42004,45.2,38570,41.5,12219,11691,78.6,75.2
Assumption Parish,6444,5794,29.4,26.5,5794,6444,34,30.6,6377,37,5754,33.3,2717,2515,66.2,61.3
Avoyelles Parish,12055,10587,30,26.4,10587,12053,35.6,31.3,11856,38.6,10466,34.1,4399,4072,63.2,58.5
Beauregard Parish,8660,7491,23.1,20,7490,8658,27.7,23.9,8499,30.2,7388,26.2,3501,3083,58.7,51.7
Bienville Parish,4669,4069,35.3,30.7,4069,4669,41.2,35.9,4631,45,4049,39.3,2102,1860,73.2,64.7
Bossier Parish,42569,37662,33.5,29.6,37660,42566,40.1,35.5,41395,43.3,36840,38.5,13626,12885,72.2,68.3
Caddo Parish,85086,75831,35.4,31.6,75826,85077,42.1,37.5,82833,45,74363,40.4,31637,29398,74.3,69
Calcasieu Parish,60066,53416,29.5,26.3,53416,60066,35.5,31.6,58748,38.5,52586,34.4,21316,19842,68.8,64.1
Caldwell Parish,2703,2461,27.3,24.8,2461,2703,32.1,29.2,2661,34.8,2434,31.8,1260,1138,70,63.3
Cameron Parish,926,859,13.3,12.3,859,926,15.5,14.4,920,16.9,855,15.7,316,308,26.7,26
Catahoula Parish,2561,2263,27,23.8,2263,2561,31.2,27.6,2542,34,2246,30,1202,1038,70.7,61.1
Claiborne Parish,4534,4132,28.9,26.4,4132,4534,32.8,29.9,4508,34.9,4117,31.9,1877,1761,61.4,57.6
Concordia Parish,4814,4136,25,21.5,4136,4814,29.7,25.5,4731,32.2,4090,27.8,1992,1723,58.1,50.3
De Soto Parish,7815,7090,28.5,25.8,7090,7815,33.6,30.5,7682,36.7,7002,33.4,3260,3061,65,61
