County Level Vaccination Data for Michigan
Date generated: Fri Jul 02 2021 12:06:38 GMT-0400 (Eastern Daylight Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Alcona County,5120,4967,49.2,47.7,4967,5120,53.4,51.8,5093,56,4919,54.1,2715,2710,72.2,72.1
Alger County,5183,4757,56.9,52.2,4757,5183,62.7,57.6,5068,65.4,4666,60.2,1978,1880,82.7,78.6
Allegan County,48758,46880,41.3,39.7,46880,48755,48.8,46.9,47331,52.6,44940,49.9,15673,14955,78,74.4
Alpena County,13095,12221,46.1,43,12221,13094,52.4,48.9,12988,56.2,11970,51.8,5546,5056,81.8,74.6
Antrim County,11486,11248,49.2,48.2,11248,N/A,N/A,54.1,N/A,N/A,10942,57,N/A,4908,N/A,75.1
Arenac County,6635,6198,44.6,41.6,6198,6635,50.4,47.1,6603,54.2,6117,50.2,3002,2884,78.2,75.1
Baraga County,3903,3627,47.5,44.2,3626,3902,53.1,49.3,3850,56.5,3584,52.6,1462,1414,78.3,75.7
Barry County,23949,23131,38.9,37.6,23131,23948,45.3,43.7,23375,48.6,22305,46.4,8607,8217,74,70.6
Bay County,49890,47320,48.4,45.9,47319,49889,55.3,52.5,49048,59.4,45745,55.4,17666,16906,81.6,78.1
Benzie County,9932,9631,55.9,54.2,9631,9931,63,61.1,9766,66.8,9332,63.8,3884,3736,81.1,78
Berrien County,70705,65797,46.1,42.9,65797,70701,53.6,49.9,69037,57.4,63632,52.9,24942,23074,80.1,74.1
Branch County,15794,14884,36.3,34.2,14884,15794,42.6,40.2,15468,46.1,14532,43.4,6069,5761,74.7,70.9
Calhoun County,55400,51943,41.3,38.7,51943,55397,48.5,45.5,54024,52,50245,48.4,19192,17970,78.5,73.5
Cass County,18258,16879,35.3,32.6,16879,18258,40.5,37.5,17948,43.6,16511,40.1,7232,6753,64.9,60.6
Charlevoix County,N/A,14127,N/A,54,14127,N/A,N/A,60.9,N/A,N/A,13543,63.6,N/A,5294,N/A,80.6
Cheboygan County,11712,10551,46.3,41.7,10551,11712,51.4,46.3,11574,54.7,10348,48.9,5207,4617,73.4,65.1
Chippewa County,23154,21567,62,57.7,21565,23150,70.1,65.3,22285,72.6,20730,67.5,6563,6316,93.7,90.2
Clare County,11394,11123,36.8,35.9,11123,N/A,N/A,41.3,N/A,N/A,10844,43.7,N/A,4905,N/A,65.7
Clinton County,37055,36209,46.6,45.5,36208,37053,54.1,52.9,35916,57.9,34269,55.3,10642,10477,76.6,75.4
Crawford County,5926,5613,42.2,40,5613,5925,47.7,45.2,5841,50.8,5424,47.2,2366,2239,65.4,61.9
Delta County,18834,17843,52.6,49.9,17842,18833,60.2,57,18573,64.5,17520,60.8,8416,8054,94.6,90.6
Dickinson County,14325,13452,56.8,53.3,13450,14321,65.1,61.2,14044,69.6,13232,65.6,6124,5856,99.9,99.9
Eaton County,51184,49135,46.4,44.6,49135,51182,53.6,51.4,49768,56.8,47027,53.7,16596,15922,78.9,75.7
Emmet County,20713,20102,62,60.2,20100,N/A,N/A,68.2,N/A,N/A,19295,71,N/A,6705,N/A,86
Genesee County,166448,156475,41,38.6,156474,166441,48,45.1,162546,51.5,151057,47.9,55633,53432,76.3,73.3
Gladwin County,10131,9866,39.8,38.8,9866,N/A,N/A,44.2,N/A,N/A,9685,46.7,N/A,4685,N/A,67.8
Gogebic County,7387,6994,52.9,50,6994,7387,59.3,56.2,7317,62.9,6889,59.2,3384,3227,84.6,80.7
Grand Traverse County,54130,51865,58.1,55.7,51864,54127,66.7,63.9,52020,69.8,49293,66.1,17443,16560,90.3,85.7
