County Level Vaccination Data for Minnesota
Date generated: Fri Jul 02 2021 12:55:04 GMT-0400 (Eastern Daylight Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Aitkin County,8181,7607,51.5,47.9,7597,8167,57.2,53.2,7930,59.8,7420,55.9,4103,3951,76.4,73.5
Anoka County,167239,152219,46.9,42.6,151864,166698,55.2,50.3,157239,57.8,143811,52.8,40556,38343,78.3,74
Becker County,15598,14312,45.3,41.6,14296,15573,53.6,49.2,15069,57.7,13866,53.1,6290,5886,86.5,80.9
Beltrami County,24603,20717,52.1,43.9,20679,24532,62.9,53,23255,65.8,19760,55.9,7247,6702,93.2,86.2
Benton County,13095,11557,32,28.3,11538,13062,38.5,34,12422,40.7,11018,36.1,3756,3284,64.1,56.1
Big Stone County,2852,2641,57.1,52.9,2635,2845,66.5,61.6,2739,70,2539,64.9,1245,1175,93,87.8
Blue Earth County,34526,31735,51,46.9,31665,34417,58.7,54,32829,60.6,30254,55.8,9203,8782,95.6,91.2
Brown County,13851,12931,55.4,51.7,12919,13827,64.5,60.2,13352,68.3,12540,64.1,5321,5125,99.7,96.1
Carlton County,19360,17640,54,49.2,17616,19316,62.6,57.1,18498,66.3,16981,60.9,5637,5387,90,86
Carver County,58176,52510,55.4,50,52292,57897,66.2,59.8,53612,69.3,48514,62.7,11770,10840,88.8,81.8
Cass County,13546,11779,45.5,39.6,11769,13524,52.5,45.6,13067,55.4,11429,48.5,6233,5731,79,72.7
Chippewa County,5194,4578,44,38.8,4575,5189,52.6,46.4,5039,56.3,4460,49.8,2131,2005,83,78.1
Chisago County,26586,24243,47,42.8,24201,26531,55,50.1,25540,58.4,23384,53.5,8525,7915,95.3,88.5
Clay County,20137,17680,31.4,27.5,17634,20062,37.7,33.1,19116,39.6,16953,35.1,6503,6065,75.7,70.6
Clearwater County,3201,2918,36.3,33.1,2914,3196,43.2,39.4,3100,46.7,2832,42.7,1432,1336,79.4,74.1
Cook County,4000,3631,73.2,66.5,3629,3996,81.2,73.8,3868,83.4,3544,76.4,1499,1463,93.6,91.4
Cottonwood County,5294,4841,47.3,43.2,4834,5282,56.3,51.5,5081,60.2,4682,55.5,2123,2028,82,78.3
Crow Wing County,31068,28598,47.8,44,28557,31012,55.3,50.9,29994,58.6,27697,54.1,13215,12390,88.4,82.9
Dakota County,245519,223671,57.2,52.1,223019,244626,67.8,61.8,229000,70.5,209264,64.4,55555,52726,88.2,83.7
Dodge County,10341,9438,49.4,45.1,9409,10300,58.7,53.6,9611,61.7,8810,56.6,2740,2650,86.3,83.5
Douglas County,18396,16785,48.2,44,16767,18368,56.1,51.2,17819,59.5,16305,54.5,7876,7353,88.2,82.4
Faribault County,6536,5960,47.9,43.7,5955,6528,55.6,50.7,6303,59.2,5765,54.1,2816,2698,88.7,85
Fillmore County,12146,11013,57.7,52.3,10991,12114,68.8,62.4,11542,72.7,10563,66.6,4497,4151,99.9,92.9
Freeborn County,14671,13550,48.4,44.7,13521,14627,56.3,52,14090,59.5,13077,55.3,5685,5522,83.3,80.9
Goodhue County,26208,24040,56.6,51.9,23981,26123,65.7,60.4,24801,68.7,22847,63.3,8573,8181,91.8,87.6
Grant County,2807,2617,47,43.8,2617,2805,55.2,51.5,2699,58.4,2522,54.6,1163,1137,81.2,79.3
Hennepin County,797023,722164,63,57.1,719968,794072,73.6,66.8,750348,75.8,681748,68.9,167788,158207,91.4,86.1
Houston County,8002,6234,43,33.5,6233,8000,50,39,7864,54.1,6122,42.1,3376,2329,82.3,56.8
Hubbard County,8509,7803,39.6,36.3,7793,8492,45.9,42.1,8269,48.8,7617,45,4067,3857,75,71.1
Isanti County,14063,12052,34.6,29.7,12043,14047,40.8,35,13478,43.4,11603,37.4,4997,4334,74.2,64.4
Itasca County,21711,19605,48.1,43.4,19573,21669,55.3,49.9,20891,58.4,18906,52.8,9044,8481,83.1,78
Jackson County,4099,3716,41.6,37.7,3711,4092,48.1,43.6,3986,51.5,3635,47,1645,1564,72.3,68.7
Kanabec County,5685,5125,34.8,31.4,5116,5675,40.1,36.2,5480,42.7,4962,38.7,2396,2233,70.1,65.3
Kandiyohi County,18752,16410,43.4,38,16386,18713,51.7,45.3,18126,55.7,15934,49,7033,6366,85.3,77.2
Kittson County,2067,1888,48.1,43.9,1886,2064,56.2,51.4,1991,59.4,1827,54.5,866,803,81,75.1
Koochiching County,6199,5634,50.7,46.1,5629,6192,57,51.8,6043,60,5525,54.9,2608,2398,79.9,73.5
Lac qui Parle County,3267,3069,49.3,46.3,3067,3261,56.7,53.3,3146,59.8,2969,56.5,1404,1336,76,72.3
Lake County,6053,5671,56.9,53.3,5657,6036,64.8,60.8,5783,67.2,5452,63.4,2313,2263,81,79.3
Lake of the Woods County,1818,1648,48.6,44.1,1646,1815,55.1,49.9,1762,57.8,1608,52.8,804,755,84.7,79.6
Le Sueur County,11205,10396,38.8,36,10385,11182,45.7,42.4,10721,48.8,10051,45.7,3800,3666,74.3,71.7
Lincoln County,2469,2137,43.8,37.9,2137,2468,51.8,44.8,2380,55.1,2075,48,1139,986,80.5,69.7
Lyon County,11877,10566,46.6,41.5,10555,11853,56.5,50.3,11398,60.2,10197,53.9,3917,3610,93.4,86.1
Mahnomen County,2791,2561,50.5,46.3,2556,2787,65.2,59.8,2687,71.3,2479,65.8,1026,999,99.9,99.9
Marshall County,3635,3130,38.9,33.5,3125,3630,46,39.6,3522,48.9,3024,42,1534,1265,73.7,60.8
Martin County,9237,8458,46.9,43,8451,9227,54.6,50,8957,58.3,8232,53.6,3898,3690,82.1,77.7
McLeod County,17350,15330,48.3,42.7,15309,17321,56.4,49.8,16653,60.1,14753,53.2,6129,5500,89.2,80
Meeker County,9372,8381,40.4,36.1,8378,9356,47.7,42.7,9048,51.4,8187,46.5,3826,3510,80.3,73.7
Mille Lacs County,12947,11509,49.3,43.8,11499,12923,58.3,51.8,12439,62,11199,55.9,4872,4537,99.7,92.8
Morrison County,14040,11734,42.1,35.1,11717,14016,49.5,41.4,13655,53.3,11418,44.5,5690,5157,85.1,77.2
Mower County,20359,18962,50.8,47.3,18918,20302,60.7,56.6,19217,64,18002,60,6437,6279,86.8,84.6
Murray County,3722,3324,45.4,40.6,3322,3717,52.7,47.1,3607,56,3258,50.6,1624,1544,76.1,72.4
Nicollet County,18104,16814,52.8,49.1,16775,18050,61.5,57.1,16997,63.5,15870,59.3,4831,4643,84.4,81.1
Nobles County,10420,9496,48.2,43.9,9488,10404,59.5,54.2,9999,63.8,9189,58.6,3091,2973,85.2,82
Norman County,3021,2753,47.4,43.2,2749,3015,56.1,51.1,2877,59.6,2626,54.4,1131,1042,82.6,76.1
Olmsted County,101025,93033,63.8,58.8,92685,100575,75.9,69.9,93785,78.4,86609,72.4,22720,21765,90,86.2
Otter Tail County,24353,21912,41.5,37.3,21884,24306,48.4,43.6,23551,51.3,21246,46.2,11059,10230,77,71.2
Pennington County,5679,5306,40.2,37.6,5303,5670,47.4,44.3,5445,49.9,5118,46.9,1835,1830,69,68.8
Pine County,11988,10710,40.5,36.2,10699,11974,46.1,41.2,11694,48.9,10499,43.9,4778,4450,75.1,70
Pipestone County,4080,3795,44.7,41.6,3792,4073,54,50.3,3962,58.8,3711,55,1701,1664,89.8,87.9
Polk County,10630,9585,33.9,30.6,9578,10618,40.5,36.5,10200,43.1,9238,39.1,3899,3609,67.5,62.5
Pope County,5409,4969,48.1,44.2,4964,5401,55.9,51.4,5243,59,4829,54.4,2370,2233,85.2,80.2
Ramsey County,330175,295688,60,53.7,294838,328983,71.1,63.7,310256,73.5,278970,66,74617,69723,91.2,85.2
Red Lake County,1916,1682,47.3,41.5,1682,1914,56.1,49.3,1841,59.8,1619,52.6,723,644,82.7,73.7
Redwood County,6729,6051,44.4,39.9,6041,6712,52.7,47.4,6455,56.7,5829,51.2,2712,2545,82.9,77.8
Renville County,6930,6209,47.6,42.7,6198,6913,56.3,50.4,6671,59.8,6006,53.8,2709,2554,88.4,83.3
Rice County,36243,33493,54.1,50,33397,36117,62.9,58.1,34107,65,31626,60.3,10142,9777,95.8,92.4
Rock County,4168,3780,44.7,40.6,3774,4160,52.8,47.9,3959,56.6,3624,51.8,1676,1615,87.7,84.5
Roseau County,6457,5618,42.6,37,5617,6450,50.4,43.9,6225,54.1,5476,47.6,2316,2162,84.2,78.6
Scott County,84924,76882,57,51.6,76594,84539,68.7,62.2,78251,72,71018,65.4,16068,14723,95.1,87.1
Sherburne County,34195,30789,35.2,31.7,30723,34100,42.2,38,32407,45.2,29322,40.9,8817,8166,77.3,71.6
Sibley County,6045,5352,40.7,36,5348,6036,47.5,42.1,5823,50.9,5185,45.3,2214,2003,78.8,71.3
St. Louis County,115128,103774,57.8,52.1,103536,114819,65.8,59.3,109786,68,99170,61.4,35885,33476,89.9,83.9
Stearns County,77528,67405,48.1,41.8,67284,77345,56.8,49.4,73984,59.8,64443,52.1,24139,20534,96.9,82.4
Steele County,18293,16860,49.9,46,16820,18236,59.1,54.5,17275,62.5,15983,57.8,5797,5587,86.4,83.3
Stevens County,4692,4274,47.9,43.6,4263,4676,55.8,50.8,4500,58.4,4108,53.3,1475,1382,86.7,81.2
Swift County,4529,4086,48.9,44.1,4083,4525,57.7,52.1,4364,61.4,3954,55.6,1792,1702,86.2,81.9
Todd County,8485,7734,34.4,31.4,7729,8477,41,37.4,8253,44,7568,40.3,3708,3523,68,64.6
Traverse County,1676,1549,51.4,47.5,1545,1672,59.6,55.1,1634,63.4,1510,58.5,729,684,88,82.6
Unknown,165103,145027,N/A,N/A,144695,164406,N/A,N/A,153785,N/A,137327,N/A,33364,31715,N/A,N/A
Wabasha County,13661,12160,63.2,56.2,12141,13629,73.4,65.4,13014,76.8,11594,68.4,5323,4627,99.9,94.8
Wadena County,5843,5158,42.7,37.7,5155,5836,51.4,45.4,5699,56.2,5048,49.8,2804,2366,96,81
Waseca County,8771,8214,47.1,44.1,8193,N/A,N/A,51.6,N/A,N/A,7874,55.1,N/A,2855,N/A,82.5
Washington County,150984,136887,57.5,52.2,136470,150420,67.8,61.5,140259,70.6,127549,64.2,37043,35050,90.6,85.8
Watonwan County,5157,4700,47.3,43.1,4690,5145,56.5,51.5,4922,59.6,4497,54.5,1809,1719,81,76.9
Wilkin County,1748,1472,28.2,23.7,1469,1743,32.9,27.7,1695,35.2,1429,29.7,776,638,63.6,52.3
Winona County,26875,23884,53.2,47.3,23822,26797,60,53.3,25514,61.5,22682,54.6,8277,7547,93,84.8
Wright County,59854,54693,43.3,39.5,54573,59666,52.5,48,56380,56.4,51792,51.8,15574,14740,86.7,82
Yellow Medicine County,4808,4319,49.5,44.5,4312,4798,58,52.1,4659,62.4,4196,56.2,1946,1834,96.3,90.8
