County Level Vaccination Data for Missouri
Date generated: Thu Jun 24 2021 12:16:47 GMT-0400 (Eastern Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adair County,8480,33.5,8480,37.9,8296,37.9,39.9,2605,68
Andrew County,4516,25.5,4516,30,4484,30,32.8,1702,49.6
Atchison County,2138,41.6,2138,47.7,2125,47.7,51.8,975,72.5
Audrain County,6699,26.4,6699,30.8,6613,30.8,33.6,2946,63.8
Barry County,10113,28.3,10112,33.2,10020,33.2,36.2,4623,61.5
Barton County,2565,21.8,2565,25.5,2549,25.5,28.2,1261,50.6
Bates County,4193,25.9,4193,30.4,4155,30.4,33.4,1891,59.7
Benton County,6520,33.5,6520,37.7,6500,37.7,40.4,3771,62.1
Bollinger County,2692,22.2,2692,25.7,2670,25.7,27.9,1296,50.7
Boone County,82373,45.6,82373,52.9,79567,52.9,55.4,19088,82.7
Buchanan County,22860,26.2,22860,30.7,22528,30.7,33.2,7503,51.4
Butler County,9076,21.4,9076,25.2,9019,25.2,27.7,4192,51.5
Caldwell County,2347,26,2347,30.4,2325,30.4,33.6,1079,59.6
Callaway County,14307,32,14307,37,14111,37,39.9,5018,67.1
Camden County,13460,29.1,13460,32.7,13346,32.7,34.9,6691,50
Cape Girardeau County,26357,33.4,26356,38.9,26005,38.9,41.9,9933,73.6
Carroll County,3095,35.7,3095,41.6,3081,41.6,45.8,1484,77.4
Carter County,1223,20.4,1223,24,1218,24,26.5,629,50.3
Cass County,36694,34.7,36694,41,35471,41,44,12617,68.8
Cedar County,3208,22.4,3208,26.5,3195,26.5,29.3,1718,50.5
Chariton County,1949,26.2,1949,30.9,1937,30.9,33.8,935,51.8
Christian County,26324,29.7,26324,35.5,25502,35.5,38.4,9397,66.1
Clark County,1340,19.7,1340,23.1,1333,23.1,25.3,643,44.1
Clay County,90822,36.3,90822,43.1,86809,43.1,45.6,25634,71
Clinton County,6343,31.1,6343,36.3,6244,36.3,39.9,2368,63.9
Cole County,28883,37.6,28883,43.9,28299,43.9,47.3,10307,77.5
Cooper County,5146,29.1,5146,33.8,5060,33.8,36.4,2063,63.6
Crawford County,5143,21.5,5143,25.1,5082,25.1,27.4,2375,49.4
Dade County,2336,30.9,2336,35.5,2327,35.5,38.8,1150,63.7
Dallas County,3927,23.3,3927,27.6,3899,27.6,30.3,1964,56
