County,People with at least 1 Dose,People Fully Vaccinated,Percent of Total Pop with at least 1 Dose,Percent of Total Pop Fully Vaccinated,People 12+ Fully Vaccinated,People 12+ with at least 1 Dose,Percent of 12+ Pop with at least 1 Dose,Percent of 12+ Pop Fully Vaccinated,People 18+ with at least 1 Dose,Percent of 18+ Pop with at least 1 Dose,People 18+ Fully Vaccinated,Percent of 18+ Pop Fully Vaccinated,People 65+ with at least 1 Dose,People 65+ Fully Vaccinated,Percent 65+ Pop at least 1 Dose,Percent of 65+ Pop Fully Vaccinated
Albany County,192587,181160,63,59.3,181154,192575,71.7,67.4,182169,72.9,172088,68.9,48101,46041,90.3,86.4
Allegany County,16058,15066,34.8,32.7,15065,16056,40,37.5,15194,41.3,14321,38.9,5644,5433,62.3,60
Broome County,102118,96352,53.6,50.6,96348,102112,61.4,57.9,97413,63.4,92313,60.1,31256,29958,84.5,81
Cattaraugus County,35244,32322,46.3,42.5,32320,35240,53.8,49.4,33493,56.3,30832,51.8,11925,11113,79.4,74
Cayuga County,37968,35801,49.6,46.8,35800,37963,56.7,53.5,36045,58.4,34159,55.4,11679,11200,76.9,73.7
Chautauqua County,62328,57142,49.1,45,57142,62327,56.5,51.8,59494,58.7,54715,54,21201,19639,80.7,74.7
Chemung County,40551,37602,48.6,45.1,37600,40547,56.4,52.3,38545,58.6,35938,54.6,12981,12164,79.7,74.7
Chenango County,24067,22353,51,47.4,22351,24064,58.9,54.7,23091,61.6,21582,57.6,8034,7587,81.6,77
Clinton County,49464,47250,61.5,58.7,47249,49458,69.7,66.6,46891,71,44993,68.1,13139,12837,92.4,90.3
Columbia County,37178,34512,62.5,58,34512,37177,69.8,64.8,35564,72,33200,67.2,12428,11685,85.7,80.6
Cortland County,23827,22366,50.1,47,22366,23827,57.1,53.6,22584,58.7,21285,55.3,6789,6425,84.5,80
Delaware County,21440,19888,48.6,45.1,19888,21439,54.1,50.2,20747,56.2,19357,52.4,7889,7366,71,66.3
Dutchess County,169626,155150,57.7,52.7,155145,169615,65.2,59.7,161328,67.4,148566,62.1,45941,42765,86,80.1
Erie County,534691,491145,58.2,53.5,491137,534653,67.1,61.6,507476,69.2,468953,63.9,144567,135819,85.6,80.4
Essex County,23094,21881,62.6,59.3,21881,23094,69.6,65.9,21928,70.8,20884,67.4,7288,7062,81.4,78.9
Franklin County,26508,25036,53,50,25035,26503,60.4,57.1,25160,62.2,23901,59.1,7633,7410,87.5,84.9
Fulton County,23770,22312,44.5,41.8,22312,23767,51.2,48,22891,53.7,21603,50.7,7849,7524,73,70
Genesee County,28594,26594,49.9,46.4,26594,28594,57.4,53.4,27582,60.4,25782,56.4,9357,8782,84.7,79.5
Greene County,24878,22753,52.7,48.2,22752,24876,58.8,53.8,23865,60.4,21878,55.3,8459,7822,78.9,72.9
Hamilton County,3503,3240,79.3,73.4,3240,3503,86,79.5,3414,89.5,3164,83,1487,1387,99.9,98.6
Herkimer County,29640,27607,48.3,45,27606,29639,55.5,51.7,28356,58.1,26637,54.6,10416,9916,80,76.2
Jefferson County,64217,57757,58.5,52.6,57757,64217,70.5,63.4,61479,73.6,55575,66.6,14059,13575,90.1,87
Lewis County,11036,10562,42,40.2,10560,11034,49.4,47.3,10586,52.2,10163,50.1,3867,3768,77.3,75.4
Livingston County,31759,29765,50.5,47.3,29764,31758,56.8,53.2,30184,58.2,28431,54.8,9996,9565,86.7,82.9
Madison County,37320,34998,52.6,49.3,34998,37318,59.9,56.1,35286,61.4,33268,57.9,10501,9932,78.4,74.2
Monroe County,445500,418750,60.1,56.5,418740,445476,69.4,65.2,421079,71.5,398434,67.7,119002,113756,89.8,85.9
Montgomery County,26760,24841,54.4,50.5,24841,26757,64,59.4,25607,67.5,24009,63.3,9037,8637,97.1,92.8
Nassau County,884873,794735,65.2,58.6,794706,884762,75.6,67.9,837109,78.5,757426,71.1,228181,209047,92.5,84.7
New York County,1140007,1010497,70,62,1010433,1139883,77.8,69,1097846,78.6,978222,70.1,227984,206683,82.6,74.9
