County,People with at least 1 Dose,People Fully Vaccinated,Percent of Total Pop with at least 1 Dose,Percent of Total Pop Fully Vaccinated,People 12+ Fully Vaccinated,People 12+ with at least 1 Dose,Percent of 12+ Pop with at least 1 Dose,Percent of 12+ Pop Fully Vaccinated,People 18+ with at least 1 Dose,Percent of 18+ Pop with at least 1 Dose,People 18+ Fully Vaccinated,Percent of 18+ Pop Fully Vaccinated,People 65+ with at least 1 Dose,People 65+ Fully Vaccinated,Percent 65+ Pop at least 1 Dose,Percent of 65+ Pop Fully Vaccinated
Alamance County,74524,65541,44,38.7,65482,74409,51.3,45.1,71312,54,63153,47.8,22183,20981,76.4,72.3
Alexander County,13159,11889,35.1,31.7,11886,13152,40.1,36.3,12859,42.8,11670,38.8,5155,4907,67.2,64
Alleghany County,5469,4599,49.1,41.3,4597,5465,55.1,46.4,5408,58.5,4569,49.4,2483,2152,79.7,69.1
Anson County,6245,4431,25.5,18.1,4430,6238,29.3,20.8,6141,31.3,4353,22.2,2896,1878,61.2,39.7
Ashe County,11673,9834,42.9,36.2,9831,11662,48.2,40.6,11385,50.6,9695,43.1,4907,4092,67.7,56.4
Avery County,7701,6628,43.9,37.8,6627,7696,48.3,41.6,7576,50.6,6567,43.9,3097,2833,77,70.5
Beaufort County,20170,18120,42.9,38.6,18117,20161,49,44,19847,52.7,17886,47.5,9293,8632,80.5,74.8
Bertie County,7989,6010,42.2,31.7,6008,7986,47.4,35.6,7875,50.3,5938,37.9,3310,2572,73.9,57.4
Bladen County,9395,7415,28.7,22.7,7414,9392,32.9,25.9,9214,35.3,7295,28,4770,3810,63.9,51.1
Brunswick County,75519,63854,52.9,44.7,63836,75485,58.5,49.5,74299,61,63051,51.8,39760,34660,85.3,74.4
Buncombe County,137332,120816,52.6,46.3,120639,137051,59.5,52.4,132312,61.9,117109,54.8,41262,38919,77.1,72.8
Burke County,30998,28461,34.3,31.5,28439,30961,38.8,35.6,29998,40.6,27735,37.6,12019,11514,64.2,61.5
Cabarrus County,87438,75303,40.4,34.8,75236,87316,48.2,41.5,82703,51.2,71997,44.6,22661,21149,78,72.8
Caldwell County,28468,26091,34.6,31.7,26074,28439,39.6,36.3,27739,42.1,25525,38.8,11913,11245,71,67.1
Camden County,3602,2981,33.1,27.4,2979,3596,38.4,31.8,3540,42.1,2945,35,1280,912,69.8,49.8
Carteret County,25419,21178,36.6,30.5,21170,25403,40.9,34.1,24864,43.2,20810,36.2,11779,9980,65.9,55.9
Caswell County,8833,7961,39.1,35.2,7958,8828,44.3,39.9,8676,47.2,7852,42.7,3713,3473,74.2,69.4
Catawba County,61304,56083,38.4,35.2,56038,61218,44.6,40.9,59061,47.4,54416,43.7,22836,22023,78.3,75.5
Chatham County,36258,31121,48.7,41.8,31087,36197,55.5,47.7,34872,58.5,30168,50.6,13713,12635,73.6,67.8
Cherokee County,11315,10097,39.5,35.3,10097,11310,44.1,39.4,11227,47,10037,42,6339,5828,72.7,66.8
Chowan County,6159,4623,44.2,33.2,4621,6149,50.5,38,6079,54.5,4584,41.1,2853,2191,81,62.2
