County Level Vaccination Data for North Dakota
Date generated: Thu Jun 24 2021 14:35:56 GMT-0400 (Eastern Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Adams County,861,38.9,861,44.5,853,44.5,47.7,441,69.8
Barnes County,4753,45.6,4750,52,4582,52,54.7,1788,73.9
Benson County,1888,27.6,1888,36.3,1817,36.3,41,654,66.5
Billings County,134,14.4,134,17,134,17,18.2,45,21.3
Bottineau County,2462,39.2,2460,45.5,2426,45.5,49.1,1185,76.9
Bowman County,848,28,848,33.5,845,33.5,37,462,68.9
Burke County,615,29.1,615,35.1,612,35.1,38.5,301,67
Burleigh County,33853,35.4,33825,42,33166,42,45.2,11095,70
Cass County,80765,44.4,80646,52.6,78042,52.6,55.4,17823,78.6
Cavalier County,1795,47.7,1794,56.3,1758,56.3,60.4,758,73.5
Dickey County,2027,41.6,2025,49.3,1961,49.3,53.3,845,83.7
Divide County,733,32.4,733,38.5,715,38.5,41.2,321,55.9
Dunn County,745,16.8,745,20.4,741,20.4,22.4,331,46.4
Eddy County,939,41.1,939,48.8,925,48.8,52.8,416,76.9
Emmons County,826,25.5,826,29,821,29,31.5,482,52.9
Foster County,1349,42,1347,49,1324,49,52.6,537,73.9
Golden Valley County,383,21.7,383,24.9,379,24.9,27.5,204,45.2
Grand Forks County,29634,42.7,29624,50.2,28950,50.2,52.9,7172,77.5
Grant County,324,14.2,324,16.6,322,16.6,17.8,197,28.3
Griggs County,862,38.6,862,44.9,855,44.9,48.6,438,64.8
Hettinger County,746,29.9,746,36.3,741,36.3,39.6,395,71.7
Kidder County,611,24.6,611,28.8,607,28.8,30.9,303,48
LaMoure County,1557,38.5,1557,44.7,1533,44.7,48.3,747,67.1
Logan County,477,25.8,477,30.3,476,30.3,33.2,279,56.7
McHenry County,1814,31.6,1814,37.6,1789,37.6,40.8,863,71.8
McIntosh County,796,31.9,796,36.3,792,36.3,38.9,451,56.2
McKenzie County,2097,14,2096,18,2053,18,20,610,46
McLean County,3173,33.6,3173,39.4,3150,39.4,42.7,1467,64
Mercer County,2419,29.5,2419,35,2398,35,38.1,1107,67.4
Morton County,9723,31,9718,36.9,9594,36.9,39.8,3644,68.5
Mountrail County,2801,26.6,2800,33.1,2742,33.1,35.9,789,64.4
Nelson County,1621,56.3,1621,64.1,1601,64.1,68.9,744,97.4
Oliver County,385,19.7,384,23.6,378,23.6,25.8,198,44.6
Pembina County,2792,41.1,2792,47.5,2745,47.5,50.8,1224,75.5
Pierce County,1415,35.6,1414,41.9,1384,41.9,45.1,659,69.7
Ramsey County,4967,43.1,4963,51.5,4895,51.5,55.4,1852,79.2
Ransom County,2455,47,2452,55,2401,55,59.3,999,90.2
Renville County,648,27.8,647,32.5,639,32.5,35.5,314,65
Richland County,6476,40,6473,47,6329,47,50.1,2254,74.6
Rolette County,6256,44.1,6251,57.1,5856,57.1,62.3,1359,78.6
Sargent County,1844,47.3,1842,55.4,1813,55.4,59.3,714,80.9
Sheridan County,389,29.6,389,33.4,389,33.4,36,220,49.1
Sioux County,1074,25.4,1074,33.5,1052,33.5,38.7,246,68.5
Slope County,66,8.8,66,10.2,66,10.2,11,38,21.3
Stark County,7934,25.2,7929,31.2,7802,31.2,34,2802,64.1
Steele County,691,36.6,691,43,681,43,46.2,299,62.8
Stutsman County,8180,39.5,8175,45.5,7986,45.5,48.2,2897,70.2
Towner County,804,36.7,802,42.9,787,42.9,45.9,350,63.3
Traill County,3141,39.1,3137,45.8,3075,45.8,49.6,1124,70
Unknown,13769,N/A,13764,N/A,13610,N/A,N/A,3252,N/A
Walsh County,4425,41.6,4424,49.3,4344,49.3,53,1680,73.3
Ward County,21880,32.3,21865,38.8,21414,38.8,41.5,6419,71.9
Wells County,1297,33.8,1297,39.3,1291,39.3,42.4,655,59.5
Williams County,7159,19,7157,24.3,7047,24.3,26.5,2249,65.1
