County,People with at least 1 Dose,People Fully Vaccinated,Percent of Total Pop with at least 1 Dose,Percent of Total Pop Fully Vaccinated,People 12+ Fully Vaccinated,People 12+ with at least 1 Dose,Percent of 12+ Pop with at least 1 Dose,Percent of 12+ Pop Fully Vaccinated,People 18+ with at least 1 Dose,Percent of 18+ Pop with at least 1 Dose,People 18+ Fully Vaccinated,Percent of 18+ Pop Fully Vaccinated,People 65+ with at least 1 Dose,People 65+ Fully Vaccinated,Percent 65+ Pop at least 1 Dose,Percent of 65+ Pop Fully Vaccinated
Adair County,6353,4740,28.6,21.4,4740,6353,34.9,26,6181,38.2,4637,28.6,2182,1822,62.1,51.8
Alfalfa County,2181,2034,38.2,35.7,2034,2180,44.1,41.1,2172,47.2,2027,44.1,824,758,71.3,65.6
Atoka County,3747,3435,27.2,25,3435,3747,32,29.4,3719,34.9,3426,32.1,1554,1449,56.4,52.6
Beaver County,1332,1162,25.1,21.9,1162,1332,29.7,25.9,1306,33.3,1147,29.3,578,540,55,51.4
Beckham County,7292,6452,33.4,29.5,6451,7291,40.2,35.6,7139,43.5,6346,38.7,2474,2227,77,69.3
Blaine County,3420,2957,36.3,31.4,2957,3420,43.7,37.8,3348,47.7,2921,41.6,1277,1117,66.9,58.5
Bryan County,14303,12515,29.8,26.1,12515,14303,35.4,30.9,14047,38.1,12345,33.5,5602,5083,64.8,58.8
Caddo County,14359,12813,49.9,44.5,12813,14359,59.8,53.4,13807,63.9,12446,57.6,4783,4431,98.4,91.2
Canadian County,67268,58451,45.4,39.4,58451,67266,54.7,47.6,64260,58.6,56306,51.3,16916,15049,85.8,76.3
Carter County,17568,14457,36.5,30,14457,17567,43.7,35.9,17162,47.5,14200,39.3,6299,5356,76.1,64.7
Cherokee County,18427,15269,37.9,31.4,15269,18427,44.2,36.6,17871,46.9,14897,39.1,5887,5100,71.2,61.7
Choctaw County,3700,3266,25.2,22.3,3266,3700,30,26.5,3661,32.9,3241,29.1,1801,1641,58.2,53
Cimarron County,482,442,22.6,20.7,442,482,27.2,25,481,30.2,441,27.7,263,239,48.4,44
Cleveland County,121859,107483,42.9,37.8,107482,121848,49.6,43.8,115480,51.6,102800,45.9,29599,27170,75.5,69.3
