County Level Vaccination Data for South Carolina
Date generated: Tue Jul 06 2021 15:26:03 GMT-0400 (Eastern Daylight Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Abbeville County,7955,7262,32.4,29.6,7261,7950,37,33.8,7793,39.6,7156,36.4,3460,3305,63.1,60.3
Aiken County,62137,54358,36.4,31.8,54304,62035,42.1,36.9,60429,45,53154,39.6,23932,21695,70.4,63.8
Allendale County,3975,3475,45.8,40,3472,3969,52.1,45.5,3918,55.7,3444,49,1363,1248,75,68.6
Anderson County,64117,58061,31.7,28.7,58005,64013,37.1,33.6,62192,39.7,56589,36.1,25281,23734,68.1,63.9
Bamberg County,5095,4547,36.2,32.3,4546,5092,41.2,36.7,5013,43.9,4513,39.5,2133,1995,67.7,63.3
Barnwell County,8015,7080,38.4,33.9,7076,8005,45.3,40.1,7838,49.2,6974,43.8,2984,2716,75.7,68.9
Beaufort County,103980,87208,54.1,45.4,87080,103775,61.5,51.6,101062,64.3,85150,54.2,46742,42277,86.9,78.6
Berkeley County,81704,70824,35.8,31.1,70735,81541,42.5,36.9,78190,45,68246,39.3,23583,22038,73.1,68.3
Calhoun County,4405,3806,30.3,26.2,3802,4399,34.4,29.7,4321,36.5,3747,31.7,1818,1642,52.2,47.1
Charleston County,220772,196159,53.7,47.7,195809,220226,61.7,54.9,211532,63.8,188916,57,60723,56398,87,80.8
Cherokee County,14258,12683,24.9,22.1,12673,14242,29.2,26,13957,31.6,12474,28.2,5786,5310,59,54.2
Chester County,10935,9645,33.9,29.9,9643,10931,39.7,35,10701,42.7,9468,37.8,4492,4071,72.6,65.8
Chesterfield County,13078,11462,28.6,25.1,11456,13067,33.4,29.3,12819,35.9,11306,31.7,5367,4750,61.8,54.7
Clarendon County,12365,10693,36.6,31.7,10688,12357,41.5,35.9,12189,44.5,10603,38.7,5715,5004,70.1,61.3
Colleton County,13481,11511,35.8,30.6,11506,13472,42,35.9,13207,45.2,11330,38.8,5476,4969,70.2,63.7
Darlington County,25743,22625,38.6,34,22606,25712,45,39.5,25175,48.5,22241,42.8,10342,9358,79.6,72
Dillon County,10176,8901,33.4,29.2,8900,10166,39.9,34.9,9972,43.8,8772,38.5,3918,3584,74.9,68.6
Dorchester County,66146,57046,40.6,35,56943,65977,48,41.4,62756,50.8,54625,44.2,19916,18239,84.2,77.1
Edgefield County,12401,11062,45.5,40.6,11056,12390,50.9,45.4,12107,54,10845,48.4,4196,3865,79.1,72.9
Fairfield County,9600,8502,43,38,8500,9588,48.7,43.2,9365,51.7,8352,46.1,3880,3526,77.4,70.3
Florence County,58178,51847,42.1,37.5,51780,58078,49.5,44.2,56203,53.1,50509,47.7,20381,18953,84.7,78.8
