County Level Vaccination Data for Tennessee
Date generated: Wed Jul 07 2021 16:25:50 GMT-0400 (Eastern Daylight Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Anderson County,35352,31907,45.9,41.4,31904,35342,53.1,47.9,34087,56.2,31005,51.1,12650,11824,81.1,75.8
Bedford County,14508,12808,29.2,25.8,12807,14503,34.9,30.8,14142,38.1,12545,33.8,5507,5154,73,68.3
Benton County,5609,5103,34.7,31.6,5103,5607,40,36.4,5544,42.8,5055,39,2657,2525,68.8,65.4
Bledsoe County,4150,3628,27.5,24.1,3628,4148,30.3,26.5,4091,31.8,3592,27.9,1753,1574,61.7,55.4
Blount County,57000,51548,42.8,38.7,51544,56984,49,44.3,55235,51.8,50305,47.2,21473,20122,78.4,73.5
Bradley County,34305,30515,31.7,28.2,30514,34302,36.9,32.8,33485,39.6,29951,35.5,12504,11680,66.8,62.4
Campbell County,13828,12147,34.7,30.5,12147,13826,39.9,35.1,13585,42.8,11990,37.8,5789,5193,69.2,62.1
Cannon County,3515,3137,23.9,21.4,3137,3515,28,25,3463,30,3107,27,1470,1347,54,49.5
Carroll County,10244,8968,36.9,32.3,8968,10244,43,37.6,10111,46.4,8882,40.7,4648,4237,81.1,73.9
Carter County,18616,16795,33,29.8,16795,18615,37.2,33.6,18209,39.4,16482,35.7,7861,7281,62.3,57.7
Cheatham County,15558,14026,38.3,34.5,14024,15555,44.3,40,15118,47.6,13717,43.1,4994,4682,79,74.1
Chester County,4716,4247,27.3,24.6,4247,4716,31.6,28.5,4620,34.2,4183,30.9,1815,1679,60.8,56.2
Claiborne County,11731,10554,36.7,33,10554,11728,41.8,37.6,11556,44.7,10441,40.4,4705,4361,72.6,67.3
Clay County,1771,1625,23.3,21.3,1625,1770,26.7,24.5,1743,28.6,1605,26.3,890,858,46.3,44.6
Cocke County,14510,13233,40.3,36.8,13233,14508,46.3,42.2,14233,49.5,13053,45.4,5993,5664,77.1,72.9
Coffee County,19924,17523,35.3,31,17522,19914,41.8,36.8,19495,45.4,17258,40.2,8083,7386,82.2,75.1
Crockett County,4940,4344,34.7,30.5,4344,4938,40.8,35.9,4867,44.6,4292,39.3,2054,1817,75.2,66.5
Cumberland County,23908,22115,39.5,36.5,22114,23904,44.5,41.2,23584,47.1,21885,43.7,14247,13411,75.4,70.9
Davidson County,360046,324601,51.9,46.8,324589,360015,60.6,54.7,346341,62.8,314464,57.1,73658,68302,84.6,78.5
DeKalb County,6514,5789,31.8,28.3,5789,6510,36.9,32.8,6403,39.8,5713,35.5,2696,2478,69.9,64.3
Decatur County,3451,3134,29.6,26.9,3134,3448,34,30.9,3415,36.9,3116,33.7,1686,1590,60.1,56.7
Dickson County,19331,16958,35.8,31.4,16957,19330,42,36.9,18852,45.3,16625,39.9,6897,6322,76.7,70.3
Dyer County,10389,9314,28,25.1,9312,10382,33,29.6,10196,36,9191,32.4,4273,3986,64.1,59.8
Fayette County,18430,15953,44.8,38.8,15953,18426,50.9,44,18008,53.7,15672,46.7,7035,6299,77.5,69.4
Fentress County,4745,4328,25.6,23.4,4328,4743,29.5,26.9,4705,31.9,4306,29.2,2424,2311,58.4,55.7
Franklin County,13639,12066,32.3,28.6,12065,13633,36.9,32.7,13412,39.6,11888,35.1,6058,5577,70.5,64.9
Gibson County,16075,14449,32.7,29.4,14449,16070,38.8,34.9,15863,42.5,14309,38.3,7188,6685,80,74.4
Giles County,8703,7864,29.5,26.7,7864,8703,34.1,30.9,8593,36.8,7794,33.4,3951,3711,65.3,61.3
