County Level Vaccination Data for Vermont
Date generated: Tue Jun 22 2021 12:56:29 GMT-0400 (Eastern Daylight Time)
County,People Fully Vaccinated - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ Fully Vaccinated - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Addison County,21061,57.3,21061,64,19834,64,64.6,6216,81.8
Bennington County,12124,34.2,12124,38.7,11452,38.7,39.7,4343,52.4
Caledonia County,8787,29.3,8786,33.2,8381,33.2,34.6,3081,46.6
Chittenden County,95998,58.6,95989,66,90384,66,66.8,20979,82.3
Essex County,1922,31.2,1922,35.1,1840,35.1,36,793,48.5
Franklin County,14233,28.8,14233,33.7,13430,33.7,34.8,3782,45.9
Grand Isle County,4672,64.6,4672,73.2,4470,73.2,75.3,1529,98.2
Lamoille County,12474,49.2,12473,56.6,11769,56.6,58.1,3668,80.8
Orange County,12635,43.7,12635,49.6,12022,49.6,50.8,4038,63.4
Orleans County,12174,45,12174,51.4,11685,51.4,53.6,4525,72
Rutland County,32450,55.8,32450,62.8,31104,62.8,64.8,11106,83.9
Unknown,105097,N/A,105084,N/A,99272,N/A,N/A,30329,N/A
Washington County,22059,37.8,22058,42.8,20696,42.8,43.5,6433,54.7
Windham County,21893,51.9,21893,58.5,20983,58.5,60.3,7595,75.3
Windsor County,23896,43.4,23896,48.9,23023,48.9,50.9,8347,62.6
