State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,806335,110224,146191,612892,83780,590413,107044,338229,46.2,322436,58.5,288123,39.4,281329,51,398775,349160,58400,0,20870,268309,323620,93,123693,145001,19401,28,123383,138602,19316,28,268722,46.2,322436,58.5,36.7,262013,47.5,338229,73293,80,68690,75,39106,27476,2093,15,138106,150790,880394,337568,55.4,288117,47.3,123691,144999,19399,28,612234,100551,132430
Alabama,4583270,93475,120142,3025283,61700,2996737,78554,1768055,36.1,1747660,45.8,1435324,29.3,1426497,37.4,2242890,2063580,276800,0,99143,1460297,1465843,0,654791,679160,101285,88,654610,670560,101239,88,1334039,36.1,1747660,45.8,27.2,1325258,34.7,1768055,646134,76,554918,65.3,294834,231420,28610,54,1150553,135385,539312,1767756,42.2,1435306,34.3,654783,679154,101281,88,3024985,72249,109467
Arkansas,2772880,91884,119642,2083064,69026,2038559,87958,1196107,39.6,1163387,50.2,943122,31.3,930955,40.2,1359540,1236140,177200,0,68551,983189,1030785,539,437237,438759,66991,135,436545,427628,66654,128,876131,39.6,1163387,50.2,29,864301,37.3,1196107,398289,76,332810,63.5,192693,129324,10704,89,723054,138018,529295,1193823,46.7,942973,36.9,437233,438720,66885,135,2080713,81365,108432
American Samoa,54030,97021,124387,43052,77308,41410,95333,23806,42.7,22830,52.6,19400,34.8,18738,43.1,37830,15600,600,0,26,10464,32562,0,4505,14861,34,0,4492,14212,34,0,19366,42.7,22830,52.6,34.8,18704,43.1,23806,2577,27.2,2300,24.3,920,1373,7,0,4788,50576,570719,23805,50.1,19399,40.8,4504,14861,34,0,43050,90523,113611
Arizona,7816675,107391,138631,5983627,82207,5821051,103238,3380842,46.4,3263613,57.9,2631433,36.2,2590590,45.9,4153695,3237980,425000,0,190965,2618039,3170075,4548,1106348,1339706,183891,1488,1106074,1299249,183783,1484,2447542,46.4,3263613,57.9,33.6,2406807,42.7,3380842,1077990,82.4,904150,69.1,446551,422220,34474,905,2029288,155069,597316,3380503,54.5,2631363,42.4,1106335,1339683,183857,1488,5983203,96409,125952
Bureau of Prisons,190340,N/A,N/A,182706,N/A,182705,N/A,100850,N/A,100849,N/A,87342,N/A,87342,N/A,102960,76880,10500,0,6407,73648,102651,0,32978,47990,6374,0,32978,47990,6374,0,80968,N/A,100849,N/A,0,80968,0,100850,3243,0,2956,0,1420,1453,83,0,6152,0,0,100849,0,87342,0,32978,47990,6374,0,182705,0,0
California,47454630,120101,154991,38517344,97482,37089957,121139,22526275,57,21471651,70.1,17127972,43.3,16750628,54.7,25498590,19356140,2599900,0,1359952,16219633,20932573,5186,6968413,8809492,1348594,1473,6950550,8455561,1343078,1439,15779378,57,21471651,70.1,39.9,15407550,50.3,22526275,5302551,90.8,4207635,72.1,2171499,1894899,140640,597,9451421,161892,812842,22483213,66.8,17127006,50.9,6968034,8809159,1348341,1472,38473453,114347,141040
Colorado,6781930,117768,150736,5640374,97945,5434030,120777,3134033,54.4,2983803,66.3,2626500,45.6,2570234,57.1,3650010,2794620,337300,0,194359,2437715,3006100,2200,1110246,1323865,191719,670,1107533,1271157,190880,664,2434781,54.4,2983803,66.3,42.3,2379354,52.9,3134033,724403,86,651401,77.3,324453,309136,17567,245,1382771,164144,805061,3127483,63.4,2626450,53.2,1110235,1323843,191702,670,5633757,114135,137396
Connecticut,4564385,128023,160840,4048712,113559,3889620,137062,2263604,63.5,2147632,75.7,1915836,53.7,1875693,66.1,2470845,1844940,248600,0,157434,1605056,2285854,368,739266,1019140,157335,95,738935,979467,157202,89,1758501,63.5,2147632,75.7,49.3,1718491,60.6,2263604,588731,93.4,544054,86.3,214594,313319,16115,26,1129986,179293,724225,2262445,72.8,1915442,61.7,739069,1019012,157266,95,4047189,130305,146956
District of Columbia,1032275,146267,178724,791412,112138,782064,135403,403743,57.2,395164,68.4,327999,46.5,325856,56.4,568035,410440,53800,0,25011,314263,451921,217,126160,173131,28552,156,126129,171039,28534,154,299447,57.2,395164,68.4,42.4,297322,51.5,403743,72183,82.6,63088,72.2,35864,25247,1958,19,163146,186788,1181860,403680,66.2,327985,53.8,126156,173123,28550,156,791344,129781,169294
