county_name,case rate,death rate,Percent Black or African American,Mean household income (dollars),Percent of 18+ Pop Fully Vaccinated
Appling,10301.17,360.97,19.3,54634,6.6
Atkinson,9591.84,240.1,17.5,54979,5.6
Bacon,11294.28,254.3,15.2,53187,5.7
Baker,5263.16,320.92,39.7,47336,24.5
Baldwin,8744.49,265.6,42.3,56958,5.4
Banks,8312.48,190.17,2.6,56327,8
Barrow,10352.73,160.91,11.8,72722,11.9
Bartow,10283.38,197.71,10.4,71769,9.1
Ben Hill,9035.75,366.48,36.6,43566,5.6
Berrien,5576.88,171.2,11.7,49598,12.6
Bibb,8884.65,274.07,54.4,63566,17.4
Bleckley,6309.39,264.84,27.5,56095,3.8
Brantley,4983.86,182.27,3.5,51349,6.6
Brooks,6097.79,228.91,35.9,60621,24.2
Bryan,7169.69,97.09,14.4,88173,28
Bulloch,6568.76,80.54,27.9,60741,20.8
Burke,8092.38,179.04,48.1,59197,30.8
Butts,9422.42,321.76,29.0,72157,7.3
Calhoun,7076.14,253.28,60.5,47870,9.3
Camden,6084.49,59.34,18.8,76395,35
Candler,7225.25,350.65,25.4,52898,10.6
Carroll,6241.31,110.72,19.3,68005,16.3
Catoosa,8557.39,94.52,2.2,70444,8.8
Charlton,9508.72,211.3,26.2,52464,5.1
Chatham,7041.65,149.57,39.9,80665,38
Chattooga,9117.34,266.49,10.5,48964,6
Cherokee,8539.22,118.15,7.0,100628,24.1
Clarke,9951.53,108.65,27.9,59404,17.8
Clay,6514.89,105.08,62.4,37701,17.9
Clayton,8025.25,159.43,69.3,58950,12.1
Clinch,11057.69,375.6,28.4,39016,24
Cobb,7822.41,126.49,27.6,104969,32.7
Coffee,9899.63,327.59,28.5,54717,19.9
Colquitt,8005.64,185.05,23.4,55000,10.6
Columbia,7054.74,104.65,16.7,101299,21.1
Cook,6727.07,229.4,27.0,52709,29.1
Coweta,5823.65,140.13,17.9,91203,20.1
Crawford,4252.54,155.38,22.0,59937,12.3
Crisp,6541.34,260.22,45.5,56889,10.6
Dade,7758.94,80.44,0.8,61540,11.3
Dawson,10232.78,170.24,1.1,90106,5.8
DeKalb,7425.92,122.8,42.1,56046,25.2
Decatur,8217.46,208.95,54.0,91259,28
Dodge,5351.97,279.62,28.7,53758,3.7
Dooly,5970.15,223.88,49.1,57325,10
Dougherty,6297.76,318.11,69.6,54662,13.3
Douglas,8074.73,121.79,46.9,77559,20.2
Early,10191.21,413.96,52.5,46829,7.7
Echols,9145.88,100.78,2.0,53541,9.8
Effingham,6056.91,103.08,13.3,85885,16.9
Elbert,8107.68,311.43,29.9,53908,13
Emanuel,7840.63,238.26,33.9,50288,20.1
Evans,7242.44,159.07,29.7,54026,13.7
Fannin,8237.08,231.76,0.2,64930,15.5
Fayette,5784.22,136.12,22.7,120612,27.5
Floyd,10087.47,194.16,13.9,67957,9.6
Forsyth,7222.77,76.04,3.5,128476,16.9
Franklin,10201.89,180.03,9.3,59091,6.8
Fulton,7612.67,121.45,44.1,113594,23.8
Gilmer,8081.61,241.91,0.5,67610,7.5
Glascock,4826.45,231.4,10.2,61176,7.3
Glynn,7914.28,184.78,26.3,81578,39.8
Gordon,11278.4,179.16,3.8,63076,7.3
