measure,county,report_date,cases,deaths,cases_cum,death_cum,moving_avg_cases,moving_avg_deaths,antigen_cases,probable_deaths,antigen_cases_cum,probable_deaths_cum,total_cases,total_cases_cum,moving_avg_antigen_cases,moving_avg_probable_deaths,moving_avg_total_cases
state_total,Georgia,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
state_total,Georgia,2020-02-29,2,0,2,0,0.28571428571428,0,0,0,0,0,2,2,0,0,0.28571428571428
state_total,Georgia,2020-03-01,0,0,2,0,0.28571428571428,0,0,0,0,0,0,2,0,0,0.28571428571428
state_total,Georgia,2020-03-02,1,0,3,0,0.42857142857142,0,0,0,0,0,1,3,0,0,0.42857142857142
state_total,Georgia,2020-03-03,2,0,5,0,0.71428571428571,0,0,0,0,0,2,5,0,0,0.71428571428571
state_total,Georgia,2020-03-04,2,0,7,0,1,0,0,0,0,0,2,7,0,0,1
state_total,Georgia,2020-03-05,0,0,7,0,1,0,0,0,0,0,0,7,0,0,1
state_total,Georgia,2020-03-06,1,0,8,0,1.14285714285714,0,0,0,0,0,1,8,0,0,1.14285714285714
state_total,Georgia,2020-03-07,3,0,11,0,1.28571428571428,0,0,0,0,0,3,11,0,0,1.28571428571428
state_total,Georgia,2020-03-08,6,0,17,0,2.14285714285714,0,0,0,0,0,6,17,0,0,2.14285714285714
state_total,Georgia,2020-03-09,9,0,26,0,3.28571428571428,0,0,0,0,0,9,26,0,0,3.28571428571428
state_total,Georgia,2020-03-10,13,0,39,0,4.85714285714285,0,0,0,0,0,13,39,0,0,4.85714285714285
state_total,Georgia,2020-03-11,16,0,55,0,6.85714285714285,0,0,0,0,0,16,55,0,0,6.85714285714285
state_total,Georgia,2020-03-12,33,0,88,0,11.5714285714285,0,0,0,0,0,33,88,0,0,11.5714285714285
state_total,Georgia,2020-03-13,27,0,115,0,15.2857142857142,0,0,0,0,0,27,115,0,0,15.2857142857142
state_total,Georgia,2020-03-14,24,0,139,0,18.2857142857142,0,0,0,0,0,24,139,0,0,18.2857142857142
state_total,Georgia,2020-03-15,52,0,191,0,24.8571428571428,0,0,0,0,0,52,191,0,0,24.8571428571428
state_total,Georgia,2020-03-16,49,0,240,0,30.5714285714285,0,0,0,0,0,49,240,0,0,30.5714285714285
state_total,Georgia,2020-03-17,42,0,282,0,34.7142857142857,0,0,0,0,0,42,282,0,0,34.7142857142857
state_total,Georgia,2020-03-18,95,0,377,0,46,0,0,1,0,1,95,377,0,0.14285714285714,46
state_total,Georgia,2020-03-19,115,0,492,0,57.7142857142857,0,0,0,0,1,115,492,0,0.14285714285714,57.7142857142857
state_total,Georgia,2020-03-20,122,0,614,0,71.2857142857143,0,0,0,0,1,122,614,0,0.14285714285714,71.2857142857143
state_total,Georgia,2020-03-21,85,0,699,0,80,0,1,0,1,1,86,700,0.14285714285714,0.14285714285714,80.1428571428571
state_total,Georgia,2020-03-22,155,22,854,22,94.7142857142857,3.14285714285714,0,0,1,1,155,855,0.14285714285714,0.14285714285714,94.8571428571428
state_total,Georgia,2020-03-23,221,0,1075,22,119.285714285714,3.14285714285714,0,0,1,1,221,1076,0.14285714285714,0.14285714285714,119.428571428571
state_total,Georgia,2020-03-24,182,0,1257,22,139.285714285714,3.14285714285714,0,0,1,1,182,1258,0.14285714285714,0.14285714285714,139.428571428571
state_total,Georgia,2020-03-25,279,0,1536,22,165.571428571428,3.14285714285714,0,1,1,2,279,1537,0.14285714285714,0.14285714285714,165.714285714285
state_total,Georgia,2020-03-26,302,0,1838,22,192.285714285714,3.14285714285714,1,0,2,2,303,1840,0.28571428571428,0.14285714285714,192.571428571428
state_total,Georgia,2020-03-27,524,40,2362,62,249.714285714285,8.85714285714285,0,1,2,3,524,2364,0.28571428571428,0.28571428571428,250
state_total,Georgia,2020-03-28,225,4,2587,66,269.714285714285,9.42857142857143,0,1,2,4,225,2589,0.14285714285714,0.42857142857142,269.857142857142
state_total,Georgia,2020-03-29,243,9,2830,75,282.285714285714,7.57142857142857,0,1,2,5,243,2832,0.14285714285714,0.57142857142857,282.428571428571
state_total,Georgia,2020-03-30,388,22,3218,97,306.142857142857,10.7142857142857,0,0,2,5,388,3220,0.14285714285714,0.57142857142857,306.285714285714
state_total,Georgia,2020-03-31,1010,10,4228,107,424.428571428571,12.1428571428571,0,0,2,5,1010,4230,0.14285714285714,0.57142857142857,424.571428571428
