id,County,Mean household income (dollars)
0500000US13001,Appling County ,54634
0500000US13003,Atkinson County ,54979
0500000US13005,Bacon County ,53187
0500000US13007,Baker County ,47336
0500000US13009,Baldwin County ,56958
0500000US13011,Banks County ,56327
0500000US13013,Barrow County ,72722
0500000US13015,Bartow County ,71769
0500000US13017,Ben Hill County ,43566
0500000US13019,Berrien County ,49598
0500000US13021,Bibb County ,63566
0500000US13023,Bleckley County ,56095
0500000US13025,Brantley County ,51349
0500000US13027,Brooks County ,60621
0500000US13029,Bryan County ,88173
0500000US13031,Bulloch County ,60741
0500000US13033,Burke County ,59197
0500000US13035,Butts County ,72157
0500000US13037,Calhoun County ,47870
0500000US13039,Camden County ,76395
0500000US13043,Candler County ,52898
0500000US13045,Carroll County ,68005
0500000US13047,Catoosa County ,70444
0500000US13049,Charlton County ,52464
0500000US13051,Chatham County ,80665
0500000US13055,Chattooga County ,48964
0500000US13057,Cherokee County ,100628
0500000US13059,Clarke County ,59404
0500000US13061,Clay County ,37701
0500000US13063,Clayton County ,58950
0500000US13065,Clinch County ,39016
0500000US13067,Cobb County ,104969
0500000US13069,Coffee County ,54717
0500000US13071,Colquitt County ,55000
0500000US13073,Columbia County ,101299
0500000US13075,Cook County ,52709
0500000US13077,Coweta County ,91203
0500000US13079,Crawford County ,59937
0500000US13081,Crisp County ,56889
0500000US13083,Dade County ,61540
0500000US13085,Dawson County ,90106
0500000US13087,Decatur County ,56046
0500000US13089,DeKalb County ,91259
0500000US13091,Dodge County ,53758
0500000US13093,Dooly County ,57325
0500000US13095,Dougherty County ,54662
0500000US13097,Douglas County ,77559
0500000US13099,Early County ,46829
0500000US13101,Echols County ,53541
0500000US13103,Effingham County ,85885
0500000US13105,Elbert County ,53908
0500000US13107,Emanuel County ,50288
0500000US13109,Evans County ,54026
0500000US13111,Fannin County ,64930
0500000US13113,Fayette County ,120612
0500000US13115,Floyd County ,67957
0500000US13117,Forsyth County ,128476
0500000US13119,Franklin County ,59091
0500000US13121,Fulton County ,113594
0500000US13123,Gilmer County ,67610
0500000US13125,Glascock County ,61176
0500000US13127,Glynn County ,81578
0500000US13129,Gordon County ,63076
0500000US13131,Grady County ,58661
0500000US13133,Greene County ,89654
0500000US13135,Gwinnett County ,91502
0500000US13137,Habersham County ,63866
0500000US13139,Hall County ,86265
0500000US13141,Hancock County ,48174
0500000US13143,Haralson County ,63993
0500000US13145,Harris County ,99608
0500000US13147,Hart County ,58702
0500000US13149,Heard County ,58620
0500000US13151,Henry County ,85540
0500000US13153,Houston County ,77239
0500000US13155,Irwin County ,51912
0500000US13157,Jackson County ,81860
0500000US13159,Jasper County ,60275
0500000US13161,Jeff Davis County ,47619
0500000US13163,Jefferson County ,47500
0500000US13165,Jenkins County ,39307
0500000US13167,Johnson County ,50557
0500000US13169,Jones County ,66967
0500000US13171,Lamar County ,58828
0500000US13173,Lanier County ,50196
0500000US13175,Laurens County ,56190
0500000US13177,Lee County ,82953
0500000US13179,Liberty County ,58338
0500000US13181,Lincoln County ,60154
0500000US13183,Long County ,63440
0500000US13185,Lowndes County ,61180
0500000US13187,Lumpkin County ,71726
0500000US13189,McDuffie County ,55341
0500000US13191,McIntosh County ,61632
0500000US13193,Macon County ,46927
0500000US13195,Madison County ,65543
0500000US13197,Marion County ,55358
0500000US13199,Meriwether County ,51952
0500000US13201,Miller County ,57772
0500000US13205,Mitchell County ,51694
0500000US13207,Monroe County ,86317
0500000US13209,Montgomery County ,61661
0500000US13211,Morgan County ,87406
0500000US13213,Murray County ,59543
0500000US13215,Muscogee County ,65942
0500000US13217,Newton County ,71820
0500000US13219,Oconee County ,122678
0500000US13221,Oglethorpe County ,58012
0500000US13223,Paulding County ,80865
0500000US13225,Peach County ,63011
0500000US13227,Pickens County ,81284
0500000US13229,Pierce County ,59010
0500000US13231,Pike County ,78604
0500000US13233,Polk County ,64011
0500000US13235,Pulaski County ,58868
0500000US13237,Putnam County ,76143
0500000US13239,Quitman County ,44571
0500000US13241,Rabun County ,66194
0500000US13243,Randolph County ,42080
0500000US13245,Richmond County ,58176
0500000US13247,Rockdale County ,77956
0500000US13249,Schley County ,54667
0500000US13251,Screven County ,56501
0500000US13253,Seminole County ,65251
0500000US13255,Spalding County ,63580
0500000US13257,Stephens County ,62370
0500000US13259,Stewart County ,46204
0500000US13261,Sumter County ,53060
0500000US13263,Talbot County ,49085
0500000US13265,Taliaferro County ,49292
0500000US13267,Tattnall County ,57852
0500000US13269,Taylor County ,49357
0500000US13271,Telfair County ,51004
0500000US13273,Terrell County ,50725
0500000US13275,Thomas County ,67588
0500000US13277,Tift County ,60196
0500000US13279,Toombs County ,64821
0500000US13281,Towns County ,61147
0500000US13283,Treutlen County ,53068
0500000US13285,Troup County ,60945
0500000US13287,Turner County ,50365
0500000US13289,Twiggs County ,49399
0500000US13291,Union County ,66554
0500000US13293,Upson County ,52684
0500000US13295,Walker County ,61409
0500000US13297,Walton County ,78154
0500000US13299,Ware County ,52895
0500000US13301,Warren County ,53077
0500000US13303,Washington County ,52936
0500000US13305,Wayne County ,58658
0500000US13307,Webster County ,53823
0500000US13309,Wheeler County ,39372
0500000US13311,White County ,67742
0500000US13313,Whitfield County ,66969
0500000US13315,Wilcox County ,53060
0500000US13317,Wilkes County ,58715
0500000US13319,Wilkinson County ,53601
0500000US13321,Worth County ,61666
