ACSDP5Y2019.DP05_data_with_overlays_2021-06-17T112830
GEO_ID,NAME,DP05_0038E,DP05_0038PE
id,County,Estimate Black or African American,Percent Black or African American
0500000US13001,Appling County ,3561,19.3
0500000US13003,Atkinson County ,1444,17.5
0500000US13005,Bacon County ,1701,15.2
0500000US13007,Baker County ,1244,39.7
0500000US13009,Baldwin County ,19102,42.3
0500000US13011,Banks County ,486,2.6
0500000US13013,Barrow County ,9340,11.8
0500000US13015,Bartow County ,10931,10.4
0500000US13017,Ben Hill County ,6236,36.6
0500000US13019,Berrien County ,2247,11.7
0500000US13021,Bibb County ,83405,54.4
0500000US13023,Bleckley County ,3522,27.5
0500000US13025,Brantley County ,661,3.5
0500000US13027,Brooks County ,5604,35.9
0500000US13029,Bryan County ,5340,14.4
0500000US13031,Bulloch County ,21245,27.9
0500000US13033,Burke County ,10824,48.1
0500000US13035,Butts County ,6992,29.0
0500000US13037,Calhoun County ,3851,60.5
0500000US13039,Camden County ,9997,18.8
0500000US13043,Candler County ,2743,25.4
0500000US13045,Carroll County ,22664,19.3
0500000US13047,Catoosa County ,1497,2.2
0500000US13049,Charlton County ,3419,26.2
0500000US13051,Chatham County ,115023,39.9
0500000US13053,Chattahoochee County ,2270,21.5
0500000US13055,Chattooga County ,2593,10.5
0500000US13057,Cherokee County ,17274,7.0
0500000US13059,Clarke County ,35215,27.9
0500000US13061,Clay County ,1841,62.4
0500000US13063,Clayton County ,196495,69.3
0500000US13065,Clinch County ,1900,28.4
0500000US13067,Cobb County ,207059,27.6
0500000US13069,Coffee County ,12261,28.5
0500000US13071,Colquitt County ,10622,23.4
0500000US13073,Columbia County ,25127,16.7
0500000US13075,Cook County ,4631,27.0
0500000US13077,Coweta County ,25618,17.9
0500000US13079,Crawford County ,2708,22.0
0500000US13081,Crisp County ,10344,45.5
0500000US13083,Dade County ,134,0.8
0500000US13085,Dawson County ,258,1.1
0500000US13087,Decatur County ,11225,42.1
0500000US13089,DeKalb County ,404889,54.0
0500000US13091,Dodge County ,5987,28.7
0500000US13093,Dooly County ,6741,49.1
0500000US13095,Dougherty County ,62417,69.6
0500000US13097,Douglas County ,67249,46.9
0500000US13099,Early County ,5409,52.5
0500000US13101,Echols County ,79,2.0
0500000US13103,Effingham County ,8050,13.3
0500000US13105,Elbert County ,5727,29.9
0500000US13107,Emanuel County ,7636,33.9
0500000US13109,Evans County ,3175,29.7
0500000US13111,Fannin County ,63,0.2
0500000US13113,Fayette County ,25506,22.7
0500000US13115,Floyd County ,13576,13.9
0500000US13117,Forsyth County ,8013,3.5
0500000US13119,Franklin County ,2119,9.3
0500000US13121,Fulton County ,456855,44.1
0500000US13123,Gilmer County ,166,0.5
0500000US13125,Glascock County ,306,10.2
0500000US13127,Glynn County ,22235,26.3
0500000US13129,Gordon County ,2169,3.8
0500000US13131,Grady County ,7406,29.8
0500000US13133,Greene County ,6101,35.2
