County,Case rate,Death rate
Adair,12248,447
Adams,9661,111
Allamakee,11178,380
Appanoose,10390,394
Audubon,9716,200
Benton,10177,214
Black Hawk,12391,240
Boone,10239,130
Bremer,11535,247
Buchanan,9181,161
Buena Vista,21769,204
Butler,11545,242
Calhoun,14377,134
Carroll,14242,258
Cass,10844,428
Cedar,10334,123
Cerro Gordo,13067,229
Cherokee,14215,338
Chickasaw,10484,142
Clarke,10782,255
Clay,13530,169
Clayton,9761,325
Clinton,12098,200
Crawford,15963,244
Dallas,12092,106
Davis,9478,278
Decatur,7878,114
Delaware,12410,253
Des Moines,12028,187
Dickinson,14445,255
Dubuque,13903,217
Emmet,14759,445
Fayette,9527,219
Floyd,10465,269
Franklin,12274,228
Fremont,9009,129
Greene,8787,124
Grundy,11241,270
Guthrie,11545,299
Hamilton,12320,345
Hancock,14149,320
Hardin,11154,261
Harrison,12819,520
Henry,14804,185
Howard,11476,240
Humboldt,12544,272
Ida,13382,510
Iowa,9268,148
Jackson,11585,216
Jasper,11333,196
Jefferson,7303,191
Johnson,9684,56
Jones,14559,276
Keokuk,9477,312
Kossuth,14595,446
Lee,11397,169
Linn,9383,150
Louisa,11781,444
Lucas,9070,267
Lyon,13569,349
Madison,10081,116
Mahaska,10541,231
Marion,11010,229
Marshall,12401,193
Mills,10861,159
Mitchell,11969,406
Monona,9716,360
Monroe,12508,415
Montgomery,10447,383
Muscatine,11457,248
O’Brien,14528,444
Osceola,13243,285
Page,12875,146
Palo Alto,12784,259
Plymouth,16015,322
Pocahontas,12963,332
Polk,11898,131
Pottawattamie,12057,188
Poweshiek,8495,195
Ringgold,11542,290
Sac,13466,206
Scott,11751,144
Shelby,11507,323
Sioux,14856,212
Story,11045,49
Tama,12602,421
Taylor,10913,196
Union,10628,286
Van Buren,8021,256
Wapello,12420,349
Warren,11355,179
Washington,11719,232
Wayne,8446,357
Webster,14439,262
Winnebago,13966,299
Winneshiek,9994,175
Woodbury,14785,223
Worth,10324,108
Wright,14838,318
