CountyName,tested,confirmed_cases,Case rate,deaths,Death rate
Adams,171750,8667,13245,126,237
Alexander,6263,473,8210,11,191
Bond,39430,2087,12705,24,183
Boone,67497,6829,12754,77,166
Brown,29091,728,11067,6,182
Bureau,49718,3782,11591,83,294
Calhoun,6258,529,11163,2,106
Carroll,22543,1780,12443,37,266
Cass,22859,2031,16720,27,296
Champaign,2503171,21094,10060,154,77
Christian,59150,3838,11881,75,288
Clark,18721,1836,11890,33,266
Clay,17338,1495,11340,43,364
Clinton,71566,5787,15407,91,266
Coles,90697,5765,11389,100,201
Cook,4271602,270584,10795,4994,213
Crawford,38440,2144,11486,25,220
Cumberland,13623,1300,12075,19,288
De Witt,27313,1573,10059,29,230
DeKalb,153865,10101,9859,121,120
Douglas,35904,2605,13383,36,216
DuPage,1432148,92328,10004,1316,152
Edgar,16771,1762,10267,40,350
Edwards,4903,577,9023,12,203
Effingham,48348,4766,14014,72,244
Fayette,36996,3221,15097,55,272
Ford,32145,1886,14551,48,432
Franklin,56371,4546,11817,78,234
Fulton,92387,4052,11800,59,195
Gallatin,4721,468,9693,4,104
Greene,16160,1453,11204,34,362
Grundy,68567,5987,11727,78,161
Hamilton,9258,842,10375,15,222
Hancock,19880,1802,10176,31,232
Hardin,6133,391,10233,12,314
Henderson,7634,531,7990,14,346
Henry,75236,5074,10374,70,202
Iroquois,52674,3132,11551,67,254
Jackson,88932,5100,8987,65,134
Jasper,13435,1161,12081,18,208
Jefferson,60340,4418,11724,122,326
Jersey,33971,2716,12474,52,326
Jo Daviess,22353,1827,8604,24,127
Johnson,52030,1472,11855,16,177
Kane,728993,59394,11156,804,161
Kankakee,252501,14536,13231,216,204
Kendall,159644,13271,10740,98,83
Knox,121726,5640,11384,153,370
Lake,1189434,68324,9809,1011,155
LaSalle,211362,12768,11749,249,280
Lawrence,73994,2411,15378,27,230
Lee,106299,4194,12301,53,270
Livingston,119650,4896,13734,91,289
Logan,99509,3962,13844,63,266
Macon,196159,10992,10568,211,212
Macoupin,78540,4782,10644,88,260
Madison,337916,30911,11755,526,228
Marion,100402,4511,12125,117,331
Marshall,22800,1082,9460,19,184
Mason,26254,1541,11535,45,344
Massac,13269,1358,9861,40,312
McDonough,56222,2904,9784,51,212
McHenry,368336,29179,9481,294,104
McLean,372289,18544,10812,187,130
Menard,21468,1248,10233,12,131
Mercer,19237,1493,9672,34,220
Monroe,45669,4380,12645,94,271
Montgomery,83617,3792,13346,74,282
Morgan,67375,3932,12003,82,309
Moultrie,26244,1629,11234,28,248
Ogle,69178,6206,12254,83,180
Peoria,362992,23443,13144,340,206
Perry,62643,3199,15295,60,330
Piatt,34140,1523,9318,14,122
Pike,21408,1817,11677,53,360
Pope,3828,327,7829,4,96
Pulaski,7207,700,13121,7,131
Putnam,7261,486,8468,3,70
Randolph,65161,4163,13099,87,293
Richland,28287,1769,11403,40,316
Rock Island,226087,15238,10740,328,261
Saline,39912,2601,11072,57,311
Sangamon,405054,19075,9799,237,143
Schuyler,15822,779,11510,7,281
Scott,9417,488,9857,1,20
Shelby,29665,2324,10742,37,185
St. Clair,427617,28287,12039,519,217
Stark,10260,648,12130,24,449
Stephenson,64871,4815,10821,85,234
Tazewell,250532,17217,13063,304,256
Union,39926,2270,13631,40,264
Vermilion,168094,10000,13200,141,209
Wabash,14804,1356,11771,12,130
Warren,21716,1837,10906,48,303
Washington,14876,1648,11867,25,223
Wayne,18702,1808,11150,53,333
White,24713,1702,12573,26,266
Whiteside,82462,7197,13203,174,391
Will,1055306,76907,11134,1031,160
Williamson,113198,7573,11371,134,219
Winnebago,445430,34070,12057,501,188
Woodford,80207,4823,12541,82,250
