County,Case rate,Death rate
Cass,16013,297
Dubois,14573,278
Elkhart,14326,231
White,13866,224
Clinton,13754,185
Fountain,13704,300
St. Joseph,13637,215
Marshall,13485,255
Shelby,13457,239
Gibson,13277,291
Fayette,12925,286
Howard,12588,276
Warrick,12502,252
Vanderburgh,12469,224
Henry,12338,236
Ripley,12283,251
Noble,12215,191
Kosciusko,12169,161
Whitley,11989,130
Dearborn,11950,164
Benton,11866,160
Vigo,11824,241
Johnson,11748,257
Tippecanoe,11745,118
Wabash,11705,268
Blackford,11694,272
Grant,11664,284
Jasper,11635,173
Steuben,11635,176
Spencer,11580,153
Lake,11546,217
Jackson,11530,176
Montgomery,11521,240
Wayne,11466,311
Porter,11383,198
Scott,11356,247
Vermillion,11350,284
LaPorte,11332,203
Clark,11210,173
Miami,11201,197
Pike,11171,274
Decatur,11134,361
Tipton,11064,323
Huntington,11062,227
Hancock,11031,193
Allen,11031,188
Rush,11025,157
Harrison,10910,190
Hamilton,10865,131
Posey,10807,138
Marion,10750,192
Union,10717,156
Wells,10532,293
Lawrence,10518,276
Hendricks,10450,198
Sullivan,10431,208
Jefferson,10415,269
Boone,10364,156
Knox,10354,249
Owen,10275,288
Warren,10236,194
Clay,10227,183
Fulton,10223,215
Madison,10211,281
DeKalb,10155,202
Randolph,10103,341
Floyd,9974,236
Putnam,9969,162
Starke,9933,265
Jay,9909,171
Ohio,9855,187
Adams,9842,157
Perry,9823,198
Pulaski,9795,380
Bartholomew,9789,193
Crawford,9700,161
Delaware,9639,180
Morgan,9638,207
Orange,9610,295
Carroll,9587,114
Daviess,9148,306
Greene,9022,279
Martin,8971,146
Parke,8921,94
Washington,8792,132
Jennings,8498,184
Newton,8317,272
Monroe,8258,121
Switzerland,7609,74
Franklin,7575,158
LaGrange,6919,187
Brown,6918,285
