County,Case rate,Death rate
Lyon,18916,244
Morgan,17492,38
Lee,17452,351
Clinton,14210,313
Clay,13668,231
Elliott,13117,27
Monroe,12620,413
Laurel,12450,133
Knox,12442,148
Marion,12390,197
Taylor,12364,206
Warren,12273,139
Bell,12204,223
Washington,12079,339
Mercer,12014,246
Graves,11761,258
Boyle,11667,259
Caldwell,11665,251
McCreary,11653,197
Simpson,11598,226
Oldham,11526,126
Owsley,11506,362
Butler,11499,217
Harlan,11330,346
Green,11315,165
Fayette,11305,100
Robertson,11243,664
Whitley,11168,168
Henderson,11013,175
Boyd,10991,163
Boone,10981,116
Wayne,10928,246
Webster,10926,170
Powell,10915,105
Daviess,10858,190
Nelson,10845,134
Jefferson,10840,174
Logan,10829,269
Perry,10824,256
Russell,10634,257
McCracken,10626,203
Hart,10617,278
Metcalfe,10615,298
Greenup,10590,179
Hopkins,10565,333
Cumberland,10508,197
Ohio,10461,229
Mason,10322,234
Kenton,10319,128
Madison,10297,120
Hancock,10284,183
Lewis,10260,301
Grant,10232,92
Adair,10207,281
Barren,10201,233
Pulaski,10197,182
Carlisle,10168,210
Montgomery,10164,107
Christian,10085,152
Pike,10082,183
Union,10069,111
Muhlenberg,10052,219
Jackson,9993,240
Allen,9955,206
Floyd,9843,202
Shelby,9842,159
Rockcastle,9817,144
McLean,9808,293
Lincoln,9805,240
Carroll,9783,198
Lawrence,9702,183
Harrison,9700,132
Scott,9654,63
Livingston,9648,261
Leslie,9639,81
Todd,9533,228
Rowan,9509,82
Campbell,9505,90
Johnson,9496,162
Larue,9453,181
Martin,9442,179
Casey,9400,254
Marshall,9296,193
Calloway,9195,126
Hickman,9178,342
Fulton,9164,268
Trigg,9153,102
Letcher,9145,213
Bullitt,9074,102
Hardin,9008,153
Bourbon,8914,101
Jessamine,8864,133
Carter,8855,131
Garrard,8797,204
Henry,8607,124
Magoffin,8560,148
Spencer,8547,129
Grayson,8503,219
Fleming,8449,171
Gallatin,8411,372
Bath,8400,192
Clark,8361,88
Estill,8358,85
Breathitt,8345,71
Trimble,8287,83
Nicholas,8240,110
Franklin,8225,110
Bracken,8118,84
Woodford,8098,82
Anderson,7887,101
Knott,7835,162
Crittenden,7779,273
Wolfe,7629,84
Edmonson,7597,206
Menifee,7536,262
Meade,7304,91
Pendleton,7169,27
Owen,6779,119
Breckinridge,6432,88
Ballard,5325,114
