County,Case rate,Death rate
Adair,10207,281
Allen,9955,206
Anderson,7887,101
Ballard,5325,114
Barren,10201,233
Bath,8400,192
Bell,12204,223
Boone,10981,116
Bourbon,8914,101
Boyd,10991,163
Boyle,11667,259
Bracken,8118,84
Breathitt,8345,71
Breckinridge,6432,88
Bullitt,9074,102
Butler,11499,217
Caldwell,11665,251
Calloway,9195,126
Campbell,9505,90
Carlisle,10168,210
Carroll,9783,198
Carter,8855,131
Casey,9400,254
Christian,10085,152
Clark,8361,88
Clay,13668,231
Clinton,14210,313
Crittenden,7779,273
Cumberland,10508,197
Daviess,10858,190
Edmonson,7597,206
Elliott,13117,27
Estill,8358,85
Fayette,11305,100
Fleming,8449,171
Floyd,9843,202
Franklin,8225,110
Fulton,9164,268
Gallatin,8411,372
Garrard,8797,204
Grant,10232,92
Graves,11761,258
Grayson,8503,219
Green,11315,165
Greenup,10590,179
Hancock,10284,183
Hardin,9008,153
Harlan,11330,346
Harrison,9700,132
Hart,10617,278
Henderson,11013,175
Henry,8607,124
Hickman,9178,342
Hopkins,10565,333
Jackson,9993,240
Jefferson,10840,174
Jessamine,8864,133
Johnson,9496,162
Kenton,10319,128
Knott,7835,162
Knox,12442,148
Larue,9453,181
Laurel,12450,133
Lawrence,9702,183
Lee,17452,351
Leslie,9639,81
Letcher,9145,213
Lewis,10260,301
Lincoln,9805,240
Livingston,9648,261
Logan,10829,269
Lyon,18916,244
Madison,10297,120
Magoffin,8560,148
Marion,12390,197
Marshall,9296,193
Martin,9442,179
Mason,10322,234
McCracken,10626,203
McCreary,11653,197
McLean,9808,293
Meade,7304,91
Menifee,7536,262
Mercer,12014,246
Metcalfe,10615,298
Monroe,12620,413
Montgomery,10164,107
Morgan,17492,38
Muhlenberg,10052,219
Nelson,10845,134
Nicholas,8240,110
Ohio,10461,229
Oldham,11526,126
Owen,6779,119
Owsley,11506,362
Pendleton,7169,27
Perry,10824,256
Pike,10082,183
Powell,10915,105
Pulaski,10197,182
Robertson,11243,664
Rockcastle,9817,144
Rowan,9509,82
Russell,10634,257
Scott,9654,63
Shelby,9842,159
Simpson,11598,226
Spencer,8547,129
Taylor,12364,206
Todd,9533,228
Trigg,9153,102
Trimble,8287,83
Union,10069,111
Warren,12273,139
Washington,12079,339
Wayne,10928,246
Webster,10926,170
Whitley,11168,168
Wolfe,7629,84
Woodford,8098,82
