County,Case rate,Death rate
Acadia,10961,316
Allen,12768,359
Ascension,10188,133
Assumption,10648,164
Avoyelles,10833,309
Beauregard,8859,211
Bienville,12922,627
Bossier,11385,244
Caddo,11340,317
Calcasieu,11423,222
Caldwell,11464,292
Cameron,9092,100
Catahoula,12418,400
Claiborne,9445,351
Concordia,9969,322
De Soto,10578,284
East Baton Rouge,9341,190
East Carroll,16601,394
East Feliciana,17016,596
Evangeline,11059,290
Franklin,12840,535
Grant,10139,259
Iberia,10603,231
Iberville,12137,311
Jackson,13173,330
Jefferson,10995,210
Jefferson Davis,10351,309
Lafayette,10039,120
Lafourche,10436,211
LaSalle,11402,248
Lincoln,10055,199
Livingston,10194,151
Madison,14355,365
Morehouse,11570,314
Natchitoches,10928,246
Orleans,7963,206
Ouachita,12449,301
Plaquemines,11070,116
Pointe Coupee,12536,345
Rapides,9816,252
Red River,10673,450
Richland,12489,283
Sabine,12573,268
St. Bernard,8759,114
St. Charles,10614,185
St. Helena,9692,118
St. James,9665,242
St. John the Baptist,9058,329
St. Landry,11183,319
St. Martin,10408,221
St. Mary,10274,290
St. Tammany,10154,203
Tangipahoa,9818,227
Tensas,8560,185
Terrebonne,9926,205
Union,11091,371
Vermilion,9712,212
Vernon,6776,221
Washington,9707,290
Webster,11116,297
West Baton Rouge,11317,234
West Carroll,11016,379
West Feliciana,7766,218
Winn,11407,338
