County,Case rate,Death rate
Allegany,10019,301
Anne Arundel,7593,115
Baltimore,8957,210
Baltimore County,7975,203
Calvert,4583,93
Caroline,7041,90
Carroll,5659,151
Cecil,6166,148
Charles,6716,132
Dorchester,8932,204
Frederick,7645,132
Garrett,7048,224
Harford,6520,117
Howard,5935,78
Kent,6987,263
Montgomery,6779,154
Prince George’s,9408,176
Queen Anne’s,5976,101
Somerset,10244,156
St. Mary’s,5339,116
Talbot,5874,118
Washington,9708,219
Wicomico,7458,168
Worcester,7074,203
