County,Case rate,Death rate
Alcona,7102,317
Alger,7356,77
Allegan,9476,136
Alpena,7999,222
Antrim,7014,129
Arenac,8123,195
Baraga,12109,487
Barry,9691,112
Bay,10925,344
Benzie,7210,203
Berrien,10179,191
Branch,13252,278
Calhoun,10860,237
Cass,10626,149
Charlevoix,6434,84
Cheboygan,7640,182
Chippewa,15082,134
Clare,8016,275
Clinton,9621,117
Crawford,7100,100
Delta,11337,265
Dickinson,10916,293
Eaton,9211,192
Emmet,7135,129
Genesee,10290,239
Gladwin,9057,240
Gogebic,10061,372
Grand Traverse,6961,106
Gratiot,17162,307
Hillsdale,9652,204
Houghton,8808,121
Huron,13211,265
Ingham,8520,134
Ionia,14454,131
Iosco,7987,295
Iron,9525,479
Isabella,9072,143
Jackson,13284,204
Kalamazoo,8750,152
Kalkaska,6342,150
Kent,11230,132
Keweenaw,8223,95
Lake,5383,135
Lapeer,11149,245
Leelanau,5712,87
Lenawee,11025,181
Livingston,8754,103
Luce,21496,96
Mackinac,6630,28
Macomb,11518,286
Manistee,8067,98
Marquette,8903,96
Mason,7343,127
Mecosta,7401,83
Menominee,9350,189
Midland,9112,113
Missaukee,10008,179
Monroe,10245,175
Montcalm,12852,188
Montmorency,6625,214
Muskegon,10620,220
Newaygo,10004,139
Oakland,9443,194
Oceana,10462,227
Ogemaw,8320,205
Ontonagon,8427,367
Osceola,8363,132
Oscoda,8385,376
Otsego,9579,166
Ottawa,11288,151
Presque Isle,8394,270
Roscommon,7910,229
Saginaw,11823,333
Sanilac,10350,304
Schoolcraft,5411,62
Shiawassee,9451,157
St. Clair,11629,282
St. Joseph,10262,166
Tuscola,10849,333
Van Buren,9444,172
Washtenaw,7386,84
Wayne,9493,296
Wexford,8629,143
