County,Case rate,Death rate
Aitkin,8750,233
Anoka,12006,129
Becker,11242,163
Beltrami,8653,131
Benton,14263,240
Big Stone,12122,80
Blue Earth,11288,65
Brown,12316,160
Carlton,9869,159
Carver,10169,47
Cass,9638,107
Chippewa,13051,322
Chisago,10986,92
Clay,12882,143
Clearwater,10093,181
Cook,3148,0
Cottonwood,14943,214
Crow Wing,10496,149
Dakota,10937,110
Dodge,8966,14
Douglas,12480,212
Faribault,11426,139
Fillmore,7486,47
Freeborn,11476,109
Goodhue,10445,160
Grant,9946,134
Hennepin,9892,141
Houston,9392,86
Hubbard,9171,191
Isanti,10858,158
Itasca,10215,144
Jackson,12472,122
Kanabec,8992,171
Kandiyohi,15486,197
Kittson,11401,512
Koochiching,7834,147
Lac qui Parle,11430,332
Lake,7828,188
Lake of the Woods,9225,80
Le Sueur,10309,93
Lincoln,10356,53
Lyon,14297,212
Mahnomen,10223,163
Marshall,9512,182
Martin,11960,168
McLeod,12044,170
Meeker,11356,185
Mille Lacs,11866,209
Morrison,12742,186
Mower,11767,82
Murray,13071,122
Nicollet,9678,131
Nobles,18877,231
Norman,8596,141
Olmsted,8480,64
Otter Tail,9997,146
Pennington,10893,142
Pine,11332,78
Pipestone,12788,285
Polk,12412,230
Pope,10036,53
Ramsey,9554,164
Red Lake,9889,173
Redwood,11648,264
Renville,12565,316
Rice,12268,166
Rock,13806,204
Roseau,13933,138
Scott,11789,93
Sherburne,12379,98
Sibley,9876,67
St. Louis,9125,160
Stearns,14016,140
Steele,10873,49
Stevens,9434,112
Swift,11569,194
Todd,11620,134
Traverse,11568,153
Wabasha,9613,14
Wadena,11987,168
Waseca,12825,124
Washington,10464,112
Watonwan,12444,83
Wilkin,13420,209
Winona,9143,103
Wright,11851,108
Yellow Medicine,11855,206
