County,Population,Case rate,Death rate
ADAIR,"25343",9516,79
ANDREW,"17712",10975,113
ATCHISON,"5143",9564,117
AUDRAIN,"25388",10888,228
BARRY,"35789",8472,131
BARTON,"11754",10025,136
BATES,"16172",8049,192
BENTON,"19443",8910,175
BOLLINGER,"12133",9405,115
BOONE,"180463",10363,65
BUCHANAN,"87364",10782,212
BUTLER,"42478",9967,118
CALDWELL,"9020",9570,166
CALLAWAY,"44743",11322,114
CAMDEN,"46305",9568,192
CAPE GIRARDEAU,"78871",11442,176
CARROLL,"8679",11795,277
CARTER,"5982",8762,184
CASS,"105780",9202,110
CEDAR,"14349",8179,146
CHARITON,"7426",9555,108
CHRISTIAN,"88595",10625,105
CLARK,"6797",10765,118
CLAY,"121317",4335,141
CLINTON,"20387",9582,319
COLE,"76745",12075,169
COOPER,"17709",10935,152
CRAWFORD,"23920",10873,167
DADE,"7561",8155,410
DALLAS,"16878",8625,166
DAVIESS,"8278",8576,133
DEKALB,"12547",8867,255
DENT,"15573",6611,122
DOUGLAS,"13185",7298,220
DUNKLIN,"29131",9866,172
FRANKLIN,"103967",10925,179
GASCONADE,"14706",10925,313
GENTRY,"6571",12303,304
GREENE,"293086",10513,162
GRUNDY,"9850",10758,355
HARRISON,"8352",10171,168
HENRY,"21824",9437,183
HICKORY,"9544",7088,157
HOLT,"4403",9874,318
HOWARD,"10001",10373,70
HOWELL,"40117",8937,112
IRON,"10125",9255,69
JACKSON,"383230",12222,124
JASPER,"76489",13689,170
JEFFERSON,"225081",10606,112
JOHNSON,"54062",9035,107
KNOX,"3959",9820,76
LACLEDE,"35723",10057,204
LAFAYETTE,"32708",9721,174
LAWRENCE,"38355",9357,227
LEWIS,"9776",10232,194
LINCOLN,"59013",11257,86
LINN,"11920",13064,126
LIVINGSTON,"15227",14022,302
MACON,"15117",10587,119
MADISON,"12088",13855,132
MARIES,"8697",6878,92
MARION,"28530",12748,186
MCDONALD,"22837",11232,166
MERCER,"3617",9034,55
MILLER,"25619",10587,222
MISSISSIPPI,"13180",10729,212
MONITEAU,"16132",11255,198
MONROE,"8644",12029,139
MONTGOMERY,"11551",9199,104
MORGAN,"20627",8661,213
NEW MADRID,"17076",11948,275
NEWTON,"52151",9709,153
NODAWAY,"22092",10605,113
OREGON,"10529",7440,47
OSAGE,"13615",11954,118
OZARK,"9174",6919,229
PEMISCOT,"15805",9412,247
PERRY,"19136",11689,157
PETTIS,"42339",12218,182
PHELPS,"44573",8848,294
PIKE,"18302",9757,142
PLATTE,"57453",4325,84
POLK,"32149",11582,131
PULASKI,"52607",6811,105
PUTNAM,"4696",9823,85
RALLS,"10309",10189,126
RANDOLPH,"24748",10812,121
RAY,"23018",8780,117
REYNOLDS,"6270",5717,64
RIPLEY,"13288",7953,128
SALINE,"22761",12350,167
SCHUYLER,"4660",7574,150
SCOTLAND,"4902",6390,82
SCOTT,"38280",12267,227
SHANNON,"8166",7167,147
SHELBY,"5930",10807,118
ST CHARLES,"402022",11133,143
ST CLAIR,"9397",8324,85
ST FRANCOIS,"67215",13471,173
ST LOUIS,"994205",9543,176
ST LOUIS CITY,"300576",7836,228
STE GENEVIEVE,"17894",10190,95
STODDARD,"29025",8481,141
STONE,"31952",8202,147
SULLIVAN,"6089",13139,230
TANEY,"55928",10649,177
TEXAS,"25398",7658,91
VERNON,"20563",9584,224
WARREN,"35649",9561,104
WASHINGTON,"24730",11099,210
WAYNE,"12873",7680,109
WEBSTER,"39592",10312,141
WORTH,"2013",8137,99
WRIGHT,"18289",9233,186
