County,Case rate,Death rate
Adams,10045,280
Alcorn,8860,198
Amite,10271,342
Attala,11836,402
Benton,12386,303
Bolivar,10756,248
Calhoun,12130,223
Carroll,12295,302
Chickasaw,12308,345
Choctaw,9635,219
Claiborne,11471,334
Clarke,11511,515
Clay,9728,280
Coahoma,13510,380
Copiah,10686,235
Covington,14338,445
DeSoto,12053,145
Forrest,10460,204
Franklin,11020,298
George,10294,208
Greene,9701,250
Grenada,12718,419
Hancock,8125,183
Harrison,8864,152
Hinds,8946,182
Holmes,11188,435
Humphreys,12091,409
Issaquena,12735,452
Itawamba,13044,333
Jackson,9561,173
Jasper,13557,293
Jefferson,9485,401
Jefferson Davis,9732,306
Jones,12442,245
Kemper,9926,298
Lafayette,11688,224
Lamar,10041,139
Lauderdale,9798,326
Lawrence,10424,191
Leake,11946,325
Lee,11775,206
Leflore,12476,444
Lincoln,11738,331
Lowndes,11132,256
Madison,9664,211
Marion,11037,326
Marshall,12960,298
Monroe,11804,386
Montgomery,13156,440
Neshoba,13957,618
Newton,11842,300
Noxubee,12288,326
Oktibbeha,9404,198
Panola,13661,322
Pearl River,8294,265
Perry,10649,317
Pike,8583,283
Pontotoc,13237,227
Prentiss,11311,243
Quitman,12117,236
Rankin,8963,182
Scott,11389,263
Sharkey,11780,393
Simpson,11197,334
Smith,10310,214
Stone,10291,180
Sunflower,13517,362
Tallahatchie,13035,297
Tate,12093,304
Tippah,13273,309
Tishomingo,11980,351
Tunica,11223,280
Union,15806,434
Walthall,9478,329
Warren,9784,267
Washington,12357,312
Wayne,13120,208
Webster,11869,330
Wilkinson,8065,371
Winston,12815,451
Yalobusha,13859,330
Yazoo,10586,239
