County,Case rate,Death rate
Big Horn,19453,571
Toole,15372,232
Roosevelt,15176,500
Rosebud,13797,559
Powell,13643,160
Phillips,13328,405
Gallatin,13134,55
Prairie,13092,186
Dawson,12841,337
Sheridan,12814,151
Wibaux,12487,619
Hill,12339,279
Deer Lodge,12319,175
Blaine,12274,359
Valley,12196,243
Carter,12061,399
Flathead,11996,98
Silver Bow,11932,246
Cascade,11699,231
Daniels,11657,473
Richland,11534,167
Glacier,11248,313
Yellowstone,11211,170
McCone,10998,60
Sweet Grass,10811,187
Custer,10586,158
Fergus,10244,281
Fallon,10225,70
Lewis and Clark,10180,133
Beaverhead,9817,127
Madison,9256,93
Chouteau,9157,124
Jefferson,9124,65
Park,8792,120
Pondera,8611,68
Wheatland,8608,376
Carbon,8522,159
Broadwater,8401,80
Lincoln,8263,90
Teton,8232,98
Meagher,8163,376
Musselshell,8116,302
Powder River,7967,357
Treasure,7902,144
Missoula,7841,80
Stillwater,7810,145
Ravalli,7453,114
Lake,7023,118
Golden Valley,6943,244
Mineral,6664,45
Garfield,6359,159
Granite,6037,59
Sanders,5581,124
Liberty,5092,43
Judith Basin,4584,50
Petroleum,2464,205
