County,Case rate,Death rate
Alamance,11234,170
Alexander,11884,224
Alleghany,9832,45
Anson,10791,229
Ashe,8278,165
Avery,12326,120
Beaufort,10195,217
Bertie,9474,238
Bladen,10745,144
Brunswick,6541,109
Buncombe,6926,128
Burke,11220,179
Cabarrus,10347,121
Caldwell,11586,135
Camden,9396,55
Carteret,7573,79
Caswell,9733,133
Catawba,12424,195
Chatham,6386,120
Cherokee,9220,133
Chowan,10672,244
Clay,8067,160
Cleveland,11963,233
Columbus,11636,272
Craven,9272,123
Cumberland,9044,96
Currituck,5691,58
Dare,5920,27
Davidson,10162,118
Davie,9756,93
Duplin,10873,242
Durham,8085,73
Edgecombe,11082,220
Forsyth,9686,110
Franklin,10113,77
Gaston,12113,196
Gates,6478,112
Graham,7890,154
Granville,9912,137
Greene,11491,223
Guilford,9074,134
Halifax,11370,228
Harnett,8876,133
Haywood,7218,159
Henderson,8784,141
Hertford,8941,270
Hoke,8886,101
Hyde,13591,182
Iredell,10607,130
Jackson,8330,127
Johnston,10648,113
Jones,9545,297
Lee,9961,133
Lenoir,11207,222
Lincoln,11949,100
Macon,8829,114
Madison,7359,193
Martin,10379,201
McDowell,11559,138
Mecklenburg,10333,88
Mitchell,9890,107
Montgomery,12454,357
Moore,8988,192
Nash,12417,211
New Hanover,8342,75
Northampton,9726,313
Onslow,9044,78
Orange,5793,68
Pamlico,8793,102
Pasquotank,8666,211
Pender,8807,113
Perquimans,7703,89
Person,8896,180
Pitt,11350,53
Polk,7238,145
Randolph,10686,161
Richmond,10770,219
Robeson,12927,207
Rockingham,8900,171
Rowan,12146,219
Rutherford,11106,325
Sampson,12850,179
Scotland,11228,253
Stanly,12631,220
Stokes,9287,180
Surry,11717,237
Swain,8479,126
Transylvania,6926,128
Tyrrell,8118,149
Union,10399,94
Vance,11216,202
Wake,8137,66
Warren,9209,101
Washington,9845,276
Watauga,8943,59
Wayne,9336,198
Wilkes,10165,171
Wilson,12138,221
Yadkin,10980,146
Yancey,9076,155
