Date,Cases by Report Date,Molecular (PCR) Positive Cases by Specimen Date,Antigen Positive Cases by Specimen Date,Deaths by Date of Death
2020-03-02,1,1,0,
2020-03-03,0,,,
2020-03-04,0,1,0,
2020-03-05,0,,,
2020-03-06,0,,,
2020-03-07,0,1,0,
2020-03-08,0,4,0,
2020-03-09,1,,,
2020-03-10,5,5,0,
2020-03-11,0,11,0,
2020-03-12,4,15,0,1
2020-03-13,4,57,0,
2020-03-14,8,9,0,
2020-03-15,9,14,0,
2020-03-16,1,103,0,
2020-03-17,7,109,0,
2020-03-18,22,152,0,
2020-03-19,35,161,0,
2020-03-20,40,164,0,
2020-03-21,47,76,0,
2020-03-22,71,72,1,1
2020-03-23,42,234,1,
2020-03-24,101,175,1,1
2020-03-25,106,198,0,1
2020-03-26,132,197,0,1
2020-03-27,128,167,0,1
2020-03-28,171,99,1,1
2020-03-29,232,75,0,4
2020-03-30,140,210,0,2
2020-03-31,191,212,0,3
2020-04-01,86,239,0,9
2020-04-02,273,222,0,3
2020-04-03,236,203,0,11
2020-04-04,309,114,0,11
2020-04-05,183,86,0,9
2020-04-06,285,399,0,4
2020-04-07,351,263,1,9
2020-04-08,205,285,0,9
2020-04-09,225,327,0,10
2020-04-10,257,317,0,7
2020-04-11,404,172,0,9
2020-04-12,208,112,0,18
2020-04-13,296,282,0,17
2020-04-14,208,284,0,16
2020-04-15,99,376,1,23
2020-04-16,342,541,0,26
2020-04-17,394,258,0,14
2020-04-18,281,139,0,19
2020-04-19,353,120,1,15
2020-04-20,271,438,0,18
2020-04-21,187,463,0,20
2020-04-22,269,437,0,13
2020-04-23,388,507,0,17
2020-04-24,444,576,0,16
2020-04-25,571,255,0,21
2020-04-26,207,120,0,24
2020-04-27,312,559,0,15
2020-04-28,426,433,0,15
2020-04-29,380,436,0,19
2020-04-30,561,461,0,14
2020-05-01,414,450,0,17
2020-05-02,586,182,0,13
2020-05-03,155,172,0,19
2020-05-04,184,688,0,18
2020-05-05,408,552,0,25
2020-05-06,502,712,0,12
2020-05-07,639,620,1,19
2020-05-08,471,543,0,19
2020-05-09,492,193,0,11
2020-05-10,404,117,0,25
2020-05-11,281,765,0,15
2020-05-12,301,679,0,18
2020-05-13,470,711,0,14
2020-05-14,691,758,0,13
2020-05-15,622,703,1,8
2020-05-16,853,285,0,11
2020-05-17,530,193,0,15
2020-05-18,511,"1,062",0,12
2020-05-19,677,964,1,19
2020-05-20,423,835,0,15
2020-05-21,738,862,0,18
2020-05-22,758,745,1,20
2020-05-23,"1,107",340,0,21
2020-05-24,497,258,0,19
2020-05-25,742,369,0,32
2020-05-26,176,"1,363",2,28
2020-05-27,488,992,1,25
2020-05-28,784,"1,016",0,19
2020-05-29,"1,076","1,112",0,20
2020-05-30,"1,185",443,0,19
2020-05-31,916,332,0,21
2020-06-01,674,"1,505",0,17
2020-06-02,626,"1,263",2,21
2020-06-03,888,"1,436",1,19
2020-06-04,"1,190","1,344",2,10
2020-06-05,"1,289","1,319",2,21
2020-06-06,"1,370",482,0,17
2020-06-07,921,434,1,13
2020-06-08,938,"1,654",0,21
2020-06-09,676,"1,547",0,13
2020-06-10,"1,011","1,445",1,12
