County,Population,Case rate,Death rate
Adams,2216.0,12229.241877256300,135
Barnes,10415.0,13662.986077772400,298
Benson,6832.0,16115.339578454300,278
Billings,928.0,5818.9655172413800,0
Bottineau,6282.0,11540.91053804520,318
Bowman,3024.0,13392.857142857100,165
Burke,2115.0,11725.768321513000,142
Burleigh,95626.0,16759.04042833540,205
Cass,181923.0,13618.398992980500,115
Cavalier,3762.0,11483.253588516700,133
Dickey,4872.0,16399.83579638750,677
Divide,2264.0,8303.886925795050,88
Dunn,4424.0,8996.383363471970,158
Eddy,2287.0,20594.665500655900,262
Emmons,3241.0,13606.911447084200,401
Foster,3210.0,18691.58878504670,592
Golden Valley,1761.0,14821.124361158400,170
Grand Forks,69451.0,15429.583447322600,114
Grant,2274.0,9278.803869832900,308
Griggs,2231.0,14791.573285522200,90
Hettinger,2499.0,13285.31412565030,160
Kidder,2480.0,11209.677419354800,403
LaMoure,4046.0,13272.367770637700,420
Logan,1850.0,14432.432432432400,541
McHenry,5745.0,11383.812010443900,400
McIntosh,2497.0,14177.012414897900,280
McKenzie,15024.0,9664.536741214060,93
McLean,9450.0,13671.95767195770,317
Mercer,8187.0,14229.876633687600,122
Morton,31364.0,17038.643030225700,322
Mountrail,10545.0,13143.66998577530,171
Nelson,2879.0,16741.924279263600,521
Oliver,1959.0,8065.339458907610,153
Pembina,6801.0,12086.457873842100,162
Pierce,3975.0,13836.477987421400,629
Ramsey,11519.0,15009.983505512600,260
Ransom,5218.0,13415.101571483300,326
Renville,2327.0,13837.559088955700,602
Richland,16177.0,12536.316993262000,105
Rolette,14176.0,15244.074492099300,198
Sargent,3898.0,12852.744997434600,180
Sheridan,1315.0,9277.566539923950,152
Sioux,4230.0,15721.040189125300,284
Slope,750.0,4266.666666666670,0
Stark,31489.0,15710.248023119200,165
Steele,1890.0,10264.550264550300,106
Stutsman,20704.0,17117.46522411130,391
Towner,2189.0,14938.328003654600,503
Traill,8036.0,13115.978098556500,224
Walsh,10641.0,17968.236068038700,254
Ward,67641.0,14724.79709052200,296
Wells,3834.0,11945.748565466900,209
Williams,37589.0,13362.951927425600,106
