County,Case rate,Death rate,Percent of 18+ Pop Fully Vaccinated,Black or African American,65 and over,Mean Household Income
Albany,8097,117,68.9,12.4,16.5,89267
Allegany,7728,189,38.9,1.5,18.4,62811
Broome,9795,192,60.1,5.7,18.7,69491
Cattaraugus,7524,121,51.8,1.4,18.7,61368
Cayuga,8296,120,55.4,4.3,18.4,75068
Chautauqua,7064,114,54,2.6,19.6,61785
Chemung,9326,163,54.6,6.3,18.4,70677
Chenango,7448,163,57.6,1.0,20.2,65428
Clinton,6032,41,68.1,4.3,16.4,70048
Columbia,6860,175,67.2,4.5,23.1,90508
Cortland,8270,132,55.3,1.9,16.0,74152
Delaware,5427,88,52.4,1.8,24.0,63417
Dutchess,10032,152,62.1,10.5,17.1,105034
Erie,9763,197,63.9,13.5,17.6,78009
Essex,4351,70,67.4,3.2,22.8,73826
Franklin,5126,24,59.1,5.7,16.6,65742
Fulton,8300,174,50.7,2.1,19.0,64357
Genesee,9501,216,56.4,2.1,18.3,72894
Greene,7218,167,55.3,5.8,21.6,70633
Hamilton,7156,45,83,0.8,30.3,68929
Herkimer,8493,147,54.6,1.3,20.1,67532
Jefferson,5628,62,66.6,6.1,13.2,65932
Lewis,10743,137,50.1,0.7,17.9,67306
Livingston,7215,95,54.8,2.9,17.2,73278
Madison,6442,125,57.9,1.8,17.6,78606
Monroe,9329,150,67.7,15.3,16.9,80684
Montgomery,8649,258,63.3,2.2,18.3,64908
Nassau,13564,234,71.1,11.7,17.5,152785
New York City,11468,401,70.1,14.8,16.2,159571
Niagara,9589,179,61.7,7.0,18.6,72484
Oneida,9912,226,58.4,6.0,18.4,73642
Onondaga,8483,147,69.9,11.4,16.6,82569
Ontario,6751,85,65.7,2.5,19.4,88255
Orange,12585,188,61,11.0,13.7,100958
Orleans,7744,206,50.3,5.8,17.4,66676
Oswego,6523,79,56,1.1,15.8,71632
Otsego,5831,79,55.1,2.2,20.6,70405
Putnam,10813,95,65.7,3.1,16.7,131096
Rensselaer,7089,91,66,6.5,16.5,85835
Rockland,14447,232,61.7,12.3,15.5,123680
Saratoga,6706,73,74.4,1.7,17.6,104165
Schenectady,8512,132,66.8,10.1,16.8,83024
Schoharie,5497,58,51.5,1.6,21.0,72509
Schuyler,6076,79,59.7,1.0,20.8,65240
Seneca,5912,168,51.3,5.1,18.6,71496
St. Lawrence,6192,90,56.9,2.4,16.9,65160
Steuben,7309,153,55.4,1.7,18.9,71516
Suffolk,13645,231,66.4,7.8,16.5,129192
Sullivan,8873,101,53.9,8.0,18.5,77197
Tioga,7970,131,56.6,0.7,19.7,76774
Tompkins,4267,51,73.2,3.8,13.9,83950
Ulster,7846,145,64.5,6.0,19.2,86500
Warren,5750,89,73.2,1.3,21.6,80032
Washington,5174,90,60.8,3.2,18.9,71225
Wayne,6447,79,59.2,2.8,18.4,75590
Westchester,13426,237,70.2,14.9,16.7,154513
Wyoming,9004,133,47.8,4.1,17.4,69563
Yates,4736,104,52.5,1.0,20.1,74877
