County,Case rate,Death rate
Albany,8097,117
Allegany,7728,189
Broome,9795,192
Cattaraugus,7524,121
Cayuga,8296,120
Chautauqua,7064,114
Chemung,9326,163
Chenango,7448,163
Clinton,6032,41
Columbia,6860,175
Cortland,8270,132
Delaware,5427,88
Dutchess,10032,152
Erie,9763,197
Essex,4351,70
Franklin,5126,24
Fulton,8300,174
Genesee,9501,216
Greene,7218,167
Hamilton,7156,45
Herkimer,8493,147
Jefferson,5628,62
Lewis,10743,137
Livingston,7215,95
Madison,6442,125
Monroe,9329,150
Montgomery,8649,258
Nassau,13564,234
New York City,11468,401
Niagara,9589,179
Oneida,9912,226
Onondaga,8483,147
Ontario,6751,85
Orange,12585,188
Orleans,7744,206
Oswego,6523,79
Otsego,5831,79
Putnam,10813,95
Rensselaer,7089,91
Rockland,14447,232
Saratoga,6706,73
Schenectady,8512,132
Schoharie,5497,58
Schuyler,6076,79
Seneca,5912,168
St. Lawrence,6192,90
Steuben,7309,153
Suffolk,13645,231
Sullivan,8873,101
Tioga,7970,131
Tompkins,4267,51
Ulster,7846,145
Warren,5750,89
Washington,5174,90
Wayne,6447,79
Westchester,13426,237
Wyoming,9004,133
Yates,4736,104
