Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
2020-03-01,Albany,0,0,0,0
2020-03-02,Albany,0,0,0,0
2020-03-03,Albany,0,0,0,0
2020-03-04,Albany,0,0,0,0
2020-03-05,Albany,0,0,3,3
2020-03-06,Albany,0,0,0,3
2020-03-07,Albany,0,0,5,8
2020-03-08,Albany,0,0,2,10
2020-03-09,Albany,0,0,3,13
2020-03-10,Albany,0,0,2,15
2020-03-11,Albany,0,0,13,28
2020-03-12,Albany,1,1,11,39
2020-03-13,Albany,2,3,26,65
2020-03-14,Albany,3,6,108,173
2020-03-15,Albany,6,12,108,281
2020-03-16,Albany,11,23,140,421
2020-03-17,Albany,13,36,267,688
2020-03-18,Albany,7,43,331,1019
2020-03-19,Albany,18,61,450,1469
2020-03-20,Albany,27,88,499,1968
2020-03-21,Albany,35,123,577,2545
2020-03-22,Albany,4,127,197,2742
2020-03-23,Albany,19,146,144,2886
2020-03-24,Albany,6,152,198,3084
2020-03-25,Albany,19,171,93,3177
2020-03-26,Albany,16,187,112,3289
2020-03-27,Albany,8,195,101,3390
2020-03-28,Albany,10,205,73,3463
2020-03-29,Albany,12,217,61,3524
2020-03-30,Albany,9,226,72,3596
2020-03-31,Albany,14,240,108,3704
2020-04-01,Albany,13,253,106,3810
2020-04-02,Albany,14,267,105,3915
2020-04-03,Albany,26,293,123,4038
2020-04-04,Albany,12,305,117,4155
2020-04-05,Albany,14,319,89,4244
2020-04-06,Albany,14,333,86,4330
2020-04-07,Albany,9,342,74,4404
2020-04-08,Albany,37,379,229,4633
2020-04-09,Albany,47,426,332,4965
2020-04-10,Albany,20,446,159,5124
2020-04-11,Albany,32,478,223,5347
2020-04-12,Albany,21,499,193,5540
2020-04-13,Albany,36,535,216,5756
2020-04-14,Albany,13,548,106,5862
2020-04-15,Albany,33,581,301,6163
2020-04-16,Albany,38,619,273,6436
2020-04-17,Albany,29,648,291,6727
2020-04-18,Albany,34,682,305,7032
2020-04-19,Albany,5,687,103,7135
2020-04-20,Albany,17,704,164,7299
2020-04-21,Albany,33,737,236,7535
2020-04-22,Albany,21,758,178,7713
2020-04-23,Albany,47,805,319,8032
2020-04-24,Albany,94,899,626,8658
2020-04-25,Albany,49,948,402,9060
2020-04-26,Albany,31,979,263,9323
2020-04-27,Albany,30,1009,197,9520
2020-04-28,Albany,58,1067,351,9871
2020-04-29,Albany,98,1165,439,10310
2020-04-30,Albany,39,1204,378,10688
2020-05-01,Albany,34,1238,434,11122
2020-05-02,Albany,20,1258,441,11563
2020-05-03,Albany,29,1287,391,11954
2020-05-04,Albany,7,1294,130,12084
2020-05-05,Albany,27,1321,367,12451
2020-05-06,Albany,27,1348,407,12858
2020-05-07,Albany,36,1384,385,13243
2020-05-08,Albany,32,1416,488,13731
2020-05-09,Albany,16,1432,455,14186
2020-05-10,Albany,24,1456,384,14570
2020-05-11,Albany,23,1479,341,14911
2020-05-12,Albany,15,1494,335,15246
2020-05-13,Albany,15,1509,546,15792
2020-05-14,Albany,29,1538,541,16333
2020-05-15,Albany,34,1572,482,16815
2020-05-16,Albany,7,1579,411,17226
2020-05-17,Albany,31,1610,342,17568
2020-05-18,Albany,45,1655,398,17966
2020-05-19,Albany,27,1682,697,18663
2020-05-20,Albany,18,1700,650,19313
2020-05-21,Albany,56,1756,920,20233
2020-05-22,Albany,14,1770,655,20888
2020-05-23,Albany,12,1782,438,21326
2020-05-24,Albany,9,1791,378,21704
2020-05-25,Albany,2,1793,328,22032
2020-05-26,Albany,3,1796,369,22401
2020-05-27,Albany,18,1814,666,23067
2020-05-28,Albany,20,1834,416,23483
2020-05-29,Albany,9,1843,521,24004
2020-05-30,Albany,17,1860,760,24764
2020-05-31,Albany,22,1882,537,25301
2020-06-01,Albany,18,1900,618,25919
2020-06-02,Albany,20,1920,1170,27089
2020-06-03,Albany,10,1930,817,27906
2020-06-04,Albany,11,1941,1179,29085
2020-06-05,Albany,12,1953,1164,30249
2020-06-06,Albany,8,1961,751,31000
2020-06-07,Albany,17,1978,1194,32194
2020-06-08,Albany,5,1983,616,32810
2020-06-09,Albany,3,1986,569,33379
2020-06-10,Albany,10,1996,774,34153
2020-06-11,Albany,11,2007,1103,35256
2020-06-12,Albany,9,2016,739,35995
2020-06-13,Albany,4,2020,874,36869
2020-06-14,Albany,2,2022,496,37365
2020-06-15,Albany,4,2026,577,37942
2020-06-16,Albany,3,2029,592,38534
2020-06-17,Albany,5,2034,843,39377
2020-06-18,Albany,15,2049,1070,40447
2020-06-19,Albany,4,2053,610,41057
2020-06-20,Albany,1,2054,784,41841
2020-06-21,Albany,6,2060,931,42772
2020-06-22,Albany,2,2062,427,43199
