County,Case rate,Death rate
Adams,8813,202
Allen,11674,238
Ashland,8171,183
Ashtabula,7421,184
Athens,8036,92
Auglaize,11050,191
Belmont,9211,264
Brown,9286,140
Butler,10319,159
Carroll,7360,178
Champaign,8888,154
Clark,10642,228
Clermont,9781,124
Clinton,9105,157
Columbiana,8887,232
Coshocton,7383,164
Crawford,9792,268
Cuyahoga,9404,181
Darke,10622,252
Defiance,11356,260
Delaware,9052,65
Erie,10860,224
Fairfield,10539,129
Fayette,10037,175
Franklin,9817,113
Fulton,10274,178
Gallia,8071,167
Geauga,7337,163
Greene,9075,148
Guernsey,8399,139
Hamilton,9979,153
Hancock,9250,177
Hardin,8832,207
Harrison,7600,253
Henry,10153,248
Highland,8364,155
Hocking,7805,223
Holmes,6176,232
Huron,9572,209
Jackson,9851,167
Jefferson,8712,245
Knox,7351,180
Lake,9237,169
Lawrence,9682,173
Licking,9442,127
Logan,8513,173
Lorain,8306,163
Lucas,10146,194
Madison,9951,148
Mahoning,9811,266
Marion,13296,215
Medina,8712,153
Meigs,6509,175
Mercer,11855,206
Miami,10169,211
Monroe,9990,330
Montgomery,9911,199
Morgan,7596,165
Morrow,8274,119
Muskingum,10358,159
Noble,9456,270
Ottawa,9226,200
Paudling,9479,225
Perry,8230,138
Pickaway,14855,209
Pike,8746,130
Portage,8172,133
Preble,9498,259
Putnam,12808,307
Richland,9601,174
Ross,9084,214
Sandusky,9317,220
Scioto,8717,142
Seneca,9701,232
Shelby,9842,198
Stark,9031,252
Summit,8972,187
Trumbull,8387,245
Tuscarawas,9430,274
Union,9933,83
Van Wert,8764,230
Vinton,6611,130
Warren,10514,130
Washington,8897,184
Wayne,7934,195
Williams,9558,213
Wood,10168,153
Wyandot,10794,262
