County,Case rate,Death rate
Adair,14535,198
Alfalfa,20256,123
Atoka,13701,196
Beaver,8944,113
Beckham,13276,265
Blaine,11189,212
Bryan,12958,165
Caddo,13897,334
Canadian,11774,126
Carter,13172,268
Cherokee,11737,162
Choctaw,11130,184
Cimarron,10248,94
Cleveland,11060,155
Coal,12830,273
Comanche,11931,166
Cotton,12301,282
Craig,14517,127
Creek,9927,231
Custer,14095,359
Delaware,11114,223
Dewey,11306,286
Ellis,9251,155
Garfield,12832,228
Garvin,13136,285
Grady,10748,233
Grant,12670,162
Greer,10224,385
Harmon,12326,226
Harper,11443,217
Haskell,10034,135
Hughes,9436,218
Jackson,12772,228
Jefferson,11829,300
Johnston,12494,334
Kay,12288,294
Kingfisher,13048,260
Kiowa,9428,299
Latimer,8379,129
Le Flore,11393,134
Lincoln,9407,206
Logan,8996,135
Love,14952,215
Major,12531,315
Marshall,12167,136
Mayes,10470,180
McClain,13241,180
McCurtain,12202,286
McIntosh,10349,311
Murray,14503,313
Muskogee,13874,260
Noble,12425,180
Nowata,11612,198
Okfuskee,15050,267
Oklahoma,11013,165
Okmulgee,10160,221
Osage,10246,170
Ottawa,13593,225
Pawnee,10998,324
Payne,10667,93
Pittsburg,10730,179
Pontotoc,13533,209
Pottawatomie,11613,180
Pushmataha,9165,198
Roger Mills,10885,335
Rogers,11591,211
Seminole,11909,322
Sequoyah,10135,135
Stephens,11413,246
Texas,17735,170
Tillman,11131,234
Tulsa,11718,173
Wagoner,10198,151
Washington,10303,231
Washita,9976,211
Woods,13875,205
Woodward,15699,178
