County,Case rate,Death rate
Baker,6345,93
Benton,3513,24
Clackamas,4532,57
Clatsop,2635,22
Columbia,3673,55
Coos,3360,57
Crook,5294,94
Curry,3141,48
Deschutes,5072,41
Douglas,3510,75
Gilliam,4236,52
Grant,7654,97
Harney,5857,122
Hood River,5205,141
Jackson,5227,66
Jefferson,9616,158
Josephine,4134,82
Klamath,7002,114
Lake,5947,102
Lane,3644,43
Lincoln,2870,42
Linn,4333,62
Malheur,11841,206
Marion,6740,93
Morrow,9954,138
Multomah,4970,78
Polk,4652,65
Sherman,3933,56
Tillamook,2441,15
Umatilla,11044,112
Union,5593,89
Wallowa,2691,69
Wasco,5416,112
Washington,4457,42
Wheeler,2628,75
Yamhill,4469,74
