Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Pennsylvania,2020-03-01,0,,0,12801989,0,,0,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-02,0,,0,12801989,0,,0,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-03,0,,0,12801989,0,,0,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-04,0,,0,12801989,0,,0,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-05,0,,0,12801989,0,,0,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-06,2,,2,12801989,0,,0,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-07,2,,4,12801989,0,,0,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-08,3,1,7,12801989,0,0,0.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-09,4,1.6,11,12801989,0,0,0.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-10,3,2,14,12801989,0,0,0.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-11,6,2.9,20,12801989,0,0,0.2,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-12,7,3.9,27,12801989,0.1,0,0.2,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-13,18,6.1,45,12801989,0.1,0,0.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-14,13,7.7,58,12801989,0.1,0.1,0.5,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-15,16,9.6,74,12801989,0.1,0.1,0.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-16,23,12.3,97,12801989,0.2,0.1,0.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-17,36,17,133,12801989,0.3,0.1,1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-18,53,23.7,186,12801989,0.4,0.2,1.5,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-19,87,35.1,273,12801989,0.7,0.3,2.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-20,116,49.1,389,12801989,0.9,0.4,3,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-21,103,62,492,12801989,0.8,0.5,3.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-22,168,83.7,660,12801989,1.3,0.7,5.2,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-23,209,110.3,869,12801989,1.6,0.9,6.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-24,268,143.4,1137,12801989,2.1,1.1,8.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-25,582,219,1719,12801989,4.5,1.7,13.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-26,527,281.9,2246,12801989,4.1,2.2,17.5,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-27,550,343.9,2796,12801989,4.3,2.7,21.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-28,646,421.4,3442,12801989,5,3.3,26.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-29,701,497.6,4143,12801989,5.5,3.9,32.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-30,773,578.1,4916,12801989,6,4.5,38.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-03-31,980,679.9,5896,12801989,7.7,5.3,46.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-04-01,1203,768.6,7099,12801989,9.4,6,55.5,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,2020-04-02,1405,894,8504,12801989,11,7,66.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
