County,Case rate,Death rate
Abbeville,10596,167
Aiken,10297,131
Allendale,10877,173
Anderson,11503,263
Bamberg,11361,377
Barnwell,12556,278
Beaufort,8940,109
Berkeley,7919,91
Charleston,10705,126
Cherokee,10866,225
Chester,13246,236
Chesterfield,10800,237
Clarendon,10322,335
Colleton,9863,350
Darlington,12950,270
Dillon,14554,279
Dorchester,11345,137
Edgefield,11654,158
Fairfield,10861,371
Florence,13047,307
Georgetown,10866,225
Greenville,14461,198
Greenwood,11744,246
Hampton,10035,271
Horry,11249,165
Jasper,8100,166
Kershaw,11367,210
Lancaster,11196,177
Laurens,11185,256
Lee,11558,380
Lexington,11324,161
Marion,11648,352
Marlboro,13443,226
McCormick,10937,296
Newberry,13309,284
Oconee,12517,175
Orangeburg,11467,296
Pickens,15050,240
Richland,11502,139
Saluda,8841,234
Spartanburg,13158,260
Sumter,9978,198
Union,11649,308
Williamsburg,13583,339
York,11452,140
