County,Case rate,Death rate
Aurora,17266,545
Beadle,16062,217
Bennett,11620,267
Bon Homme,22102,492
Brookings,12071,105
Brown,14521,245
Brule,13555,189
Buffalo,21713,663
Butte,10423,192
Campbell,9593,291
Charles Mix,14905,237
Clark,12420,134
Clay,13724,107
Codington,16613,295
Corson,11821,294
Custer,9775,145
Davison,16430,339
Day,13072,535
Deuel,12250,207
Dewey,25102,492
Douglas,15611,308
Edmunds,13450,366
Fall River,9012,238
Faulk,16224,565
Grant,14989,596
Gregory,14050,717
Haakon,14007,527
Hamlin,12995,633
Hand,11407,188
Hanson,11352,116
Harding,7473,77
Hughes,14401,234
Hutchinson,12618,384
Hyde,10838,77
Jackson,8702,419
Jerauld,13959,795
Jones,10631,0
Kingsbury,16582,364
Lake,10870,156
Lawrence,11647,186
Lincoln,14268,128
Lyman,17429,291
Marshall,7599,122
McCook,14518,448
McPherson,10383,168
Meade,9862,109
Mellette,12615,97
Miner,13854,451
Minnehaha,16445,189
Moody,10128,304
Oglala Lakota,14926,346
Pennington,12233,178
Perkins,12531,489
Potter,18161,186
Roberts,13344,394
Sanborn,14761,128
Spink,13284,408
Stanley,11459,65
Sully,10424,216
Todd,12135,324
Tripp,13913,312
Turner,14098,680
Union,13978,270
Walworth,14204,276
Yankton,13654,149
Ziebach,12409,327
