id,State,Mean Household Income,Percent of 18+ Pop Fully Vaccinated,Black or African American,Population Density,Case Rate per 100000,Death Rate per 100000,65 and over,Age,60 to 64,55 to 59,45 to 54,35 to 44,25 to 34,20 to 24,15 to 19,10 to 14
0400000US01,Alabama,69842,37.4,26.6,99.2,11091,227,16.5,High,6.5,6.8,13.0,12.2,13.1,6.7,6.6,6.4
0400000US02,Alaska,98606,51,3.3,1.3,9214,49,11.2,Low,6.0,6.8,12.3,12.7,16.2,7.4,6.3,6.7
0400000US04,Arizona,80779,40.2,4.5,62.9,11309,193,17.1,High,5.9,6.1,12.0,12.3,13.7,6.9,6.7,6.7
0400000US05,Arkansas,66557,43.1,15.3,57.9,12096,242,16.6,High,6.2,6.5,12.4,12.3,13.1,6.7,6.7,6.6
0400000US06,California,106916,45.9,5.8,253.7,9322,156,14.0,Low,5.7,6.3,13.0,13.3,15.2,7.0,6.5,6.6
0400000US08,Colorado,96970,54.7,4.2,55.7,9419,114,13.8,Low,6.0,6.5,12.7,13.6,15.5,6.7,6.4,6.4
0400000US09,Connecticut,113031,57.1,10.7,744.7,9742,231,16.8,High,6.8,7.4,14.2,11.9,12.4,6.8,6.8,6.2
0400000US10,Delaware,90092,66.1,22.2,508,11170,170,18.2,High,6.8,7.1,13.0,11.6,13.3,6.2,6.3,6.3
0400000US11,District of Columbia,127890,54.2,46.3,"11,280.00",6928,160,12.1,Low,4.8,5.3,11.0,14.8,23.4,7.6,5.4,4.2
0400000US12,Florida,80286,56.4,16.1,401.4,10604,171,20.1,High,6.4,6.8,13.1,12.1,13.0,6.1,5.8,5.7
0400000US13,Georgia,82406,48.5,31.6,185.6,10580,196,13.5,Low,5.7,6.4,13.5,13.2,13.8,6.9,7.0,7.0
0400000US15,Hawaii,103780,41.5,1.8,226.6,2464,35,17.8,High,6.3,6.5,12.2,12.6,14.4,6.6,5.5,5.9
0400000US16,Idaho,73810,59.7,0.7,22.3,11769,191,15.4,Low,6.1,6.2,11.6,12.5,13.1,6.7,7.1,7.4
0400000US17,Illinois,92395,56.4,14.2,230.8,10744,116,15.2,Low,6.2,6.8,13.1,12.9,13.9,6.7,6.6,6.5
0400000US18,Indiana,75025,43.9,9.4,189.4,10899,198,15.4,Low,6.3,6.7,12.8,12.3,13.0,7.1,6.9,6.7
0400000US19,Iowa,78411,50.7,3.7,57.1,11042,202,16.7,High,6.5,6.8,12.1,12.0,12.6,7.2,6.8,6.6
0400000US20,Kansas,80009,45.7,5.9,35.9,10778,174,15.4,Low,6.2,6.6,11.9,12.1,13.2,7.4,6.9,6.9
