id,State,Mean Household Income
0400000US01,Alabama,69842
0400000US02,Alaska,98606
0400000US04,Arizona,80779
0400000US05,Arkansas,66557
0400000US06,California,106916
0400000US08,Colorado,96970
0400000US09,Connecticut,113031
0400000US10,Delaware,90092
0400000US11,District of Columbia,127890
0400000US12,Florida,80286
0400000US13,Georgia,82406
0400000US15,Hawaii,103780
0400000US16,Idaho,73810
0400000US17,Illinois,92395
0400000US18,Indiana,75025
0400000US19,Iowa,78411
0400000US20,Kansas,80009
0400000US21,Kentucky,70144
0400000US22,Louisiana,71001
0400000US23,Maine,76227
0400000US24,Maryland,111417
0400000US25,Massachusetts,111498
0400000US26,Michigan,78400
0400000US27,Minnesota,93925
0400000US28,Mississippi,62835
0400000US29,Missouri,76060
0400000US30,Montana,74190
0400000US31,Nebraska,80208
0400000US32,Nevada,81496
0400000US33,New Hampshire,99165
0400000US34,New Jersey,114691
0400000US35,New Mexico,69077
0400000US36,New York,101945
0400000US37,North Carolina,76940
0400000US38,North Dakota,85476
0400000US39,Ohio,76958
0400000US40,Oklahoma,72695
0400000US41,Oregon,84258
0400000US42,Pennsylvania,84849
0400000US44,Rhode Island,89093
0400000US45,South Carolina,73520
0400000US46,South Dakota,76240
0400000US47,Tennessee,74750
0400000US48,Texas,87260
0400000US49,Utah,91292
0400000US50,Vermont,81233
0400000US51,Virginia,101746
0400000US53,Washington,98983
0400000US54,West Virginia,63680
0400000US55,Wisconsin,80674
0400000US56,Wyoming,81880
0400000US72,Puerto Rico,32924
