State,Republican
Alabama,62
Alaska,52.8
Arizona,49
Arkansas,62.4
California,34.3
Colorado,41.9
Connecticut,39.2
Delaware,39.8
District of Columbia,5.4
Florida,51.2
Georgia,49.2
Hawaii,34.3
Idaho,63.8
Illinois,40.6
Indiana,57
Iowa,53.1
Kansas,56.1
Kentucky,62.1
Louisiana,58.5
Maine,44
Maryland,32.1
Massachusetts,32.1
Michigan,47.8
Minnesota,45.3
Mississippi,57.5
Missouri,56.8
Montana,56.9
Nebraska,58.2
Nevada,47.7
New Hampshire,45.4
New Jersey,41.3
New Mexico,43.5
New York,37.7
North Carolina,49.9
North Dakota,65.1
Ohio,53.3
Oklahoma,65.4
Oregon,56.5
Pennsylvania,48.8
Rhode Island,38.6
South Carolina,55.1
South Dakota,61.8
Tennessee,60.7
Texas,52.1
Utah,58.1
Vermont,30.7
Virginia,44
Washington,38.8
West Virginia,68.6
Wisconsin,48.8
Wyoming,69.9
Puerto Rico,0
