County,Case rate,Death rate
Adams,11210,120
Asotin,6629,128
Benton,8649,112
Chelan,9201,92
Clallam,1823,17
Clark,5286,58
Columbia,3237,151
Cowlitz,5942,81
Douglas,8681,53
Ferry,5205,105
Franklin,13413,122
Garfield,5843,225
Grant,10969,127
Grays Harbor,6079,100
Island,2180,34
Jefferson,1369,12
King,4961,72
Kitsap,3217,43
Kittitas,6888,71
Klickitat,3857,45
Lewis,6520,92
Lincoln,6134,101
Mason,4372,51
Okanogan,6503,99
Pacific,4446,62
Pen Oreille,6004,66
Pierce,6258,70
San Juan,1058,0
Skagit,4652,59
Skamania,3178,8
Snohomish,4853,72
Spokane,9035,129
Stevens,5186,61
Thurston,3748,38
Wahkiakum,3431,22
Walla Walla,8938,112
Whatcom,4295,45
Whitman,8790,100
Yakima,12608,179
